"English Term","Arabic Term"
"Absent without Leave (AWOL)","متغيب بدون تصريح"
"Absolute Altitude","الأرتفاع المطلق"
"Acceptance","قبول . موافقة"
"Accompanying Supplies","التسويات المصطبة"
"Accuracy of Fire","دقة النيران . دقة الرمي"
"Acknowledge Ment","اقرار . افادة"
"Aquisition","تحصيل . احراز"
"Action","عمل . فعل"
"Activated Mine","لغم مجهز"
"Active Air Defense","الدفاع الجوي الأيجابي"
"Activity","نشاط . فعالية . منشأة"
"Actual Ground Zero","نقطة الصفر الحقيقية"
"Additional Charges","اتهامات اخرى (في القانون العسكري)"
"Address Group","مجموعة العنوان (في رسائل الإشارة)"
"Adjacent","مجاور"
"Adjusted Elevation","الأرتفاع المضبط"
"Adjusted Range","المدى المضبط"
"Adjusting Point","نقطة التضبط (مدفعية)"
"Add.","ابعاز بمعنى أضف"
"Adjustment of fire","تعديل النيران . تضبط النيران (الرمي)"
"Adjustment Chart","لوحة التضبط"
"Administration","ادارة"
"Administrative Control","السيطرة الإدارية"
"Administrative Control Estimate","التقدير الإداري"
"Administrative Control Instructions","التعليمات الإدارية"
"Administrative Control Map","خريطة الموقف الإداري"
"Administrative Control March","السير الإداري"
"Administrative Control Movement","التحرك الإداري"
"Administrative Control Net","شبكة الاتصال الإداري"
"Administrative Control Order","أمر إداري"
"Administrative Control Plan","خطة إدارية"
"Administrative Control Services","خدمات إدارية"
"Advance By Bounds","التقدم على قفزات"
"Advance By Bounds Echelon","التقدم على مجموعات"
"Advanced Base","قاعدة متقدمة"
"Advanced Base Depot","مستودع عام متقدم"
"Advanced Base Detachment","مفرزة متقدمة"
"Advanced Base Individual Training","التدريب الفردي المتقدم"
"Advanced Base Landing Field","مطار متقدم ( طيران )"
"Advanced Base Unit Training","تدريب الوحدة المتقدم"
"Advance Force(amphibious)","قوة المقدمة"
"Advance Force(amphibious) Guard","حرص المقدمة"
"Advance Force(amphibious) Party","جماعة المقدمة"
"Advance Force(amphibious) Section","قسم متقدم (منطقة خطوط المواصلات)"
"Advance Force(amphibious) To Contact","التقدم للأشتراك (الاتصال)"
"Advancing Fire","نيران متقدمة (للأقتحام)"
"Aerial Delivery Containers","أوعية التموين من الجو (تسقط من الطائرات)"
