"English Sentence","Arabic Sentence"
"Bit: Contraction of "" binary digit"": refers to the smallest element of information transmitted in binary digital mode (i.c. 0 or 1 ) In The fields of information technology and digital tele- communications. The unit of measurement for transmission speeds is the bit per second. Or bps","بنة : تقليص الرقم الثنائي : مصطلح يشير إلى العناصر الصغيرة جداً في نقل المعلومات في نمط ثنائي مثل ( 0 "" أو 1 "" ) في حقل تكنولوجيا المعلومات والاتصالات الرقمية . وحدة قياس سرعة النقل هي البنية في الثانية الواحدة ."
"Byte : The encoded unit representing one alphanumeric character in a page of text. Each byte comprises eight binary digits with a value of '1' or '0' . A byte can therefore have 256 different combinations. The capacity of the primary storage of RAM of a computer is expressed in bytes (b). The multiples of a byte are kilobytes (Kb). Or 1.024 bytes: megabytes (Mb) or 1.024 Kb: gigabytes (Gb). or 1.024 Mb. The megabyte (Mb) is the most widespread unit for quantifying the capacity of a hard disk or primary storage unit of a microcomputer.","بايت : وحدة مرمزة لتقديم حرف رقمي واحد في صفحة النص . كل بايت واحد يقابل ثمانية أرقام ثنائية مع قيمة ' 1 أو 0 ' . والبايت بقدرته امتلاك 256 تركيبياً مختلفاً . إن القدرة التخزينية ( المبدئية ) الأولية 6 أو ' رام ' للحاسوب عادة يعبر عنها بالبايت . وجمع البايتات يعرف ، أو بحسب وفق الصيغ التالية : - بايت يساوى حرف واحد = بايت واحد - كيلو بايت يساوى 1024 بايت = 1000 بايت - ميكا بايت يساوى 1024 كيلو بايت = 1000 ، 000 بايت - جيجا بايت يساوى 1024 ميكا بايت = مليار بايت وأكثر الوحدات انتشاراً هي وحدة الميكا بايت لحساب الكميات التي يستوعبها القرص الصلب ، أو وحدة التخزين الأساسية في الحاسوب الصغير .."
"Cyberspace: The World navigable via computer-cyberspace- is part of a larger high- tech communications environment. Whichmay be called advanced information technology (ALT). Arelated term isnational information infrastructure (NLL). Which is better gll. Because it is global in scope. Other elements of this environment include computer hardware and software. Modems. Advanced telephone systems. Cable Tv. Satellite dishes. Faxes. And even radio and TV talk shows. All of which have both integrative and disintegrative functions.","فضاء صناعي Cyberspace السياحة حول العالم بواسطة الحاسوب - الفضاء الصناعي - جزء من بيئة الاتصالات التكنولوجية المتقدمة ، والتي ربما تسمى تكنولوجيا المعلومات المتقدمة ( المعاصرة ) . والمصطلح المذكور يعود أساساً إلى مصطلح البناء الأساسي للمعلومات القومية ، التي من الأحسن تسميتها البنية الأساسية لمعلومات العولمة والسبب لأنها ذات منظر عالمي . العناصر الأخرى لهذه البنية فهي تصنع / تشتمل على كل من المكونات المادية للحاسوب ، والبرمجيات ، والوسائط ، ونظام الهاتف المتقدم ، والتلفزيون الكيبلي ( السلكي ) ، وأطباق الأقمار الصناعية ، الفاكس ، وكذلك برامج المنوعات الراديو والتلفزيون جميع تلك التي تملك قدرة دمج الوظائف وعدم دمجها أو تكاملها .."
"Digital: Refers to all the operations involving the encoding of data. Audio and video information in digital form in order to process it by computerized means and use it for multimedia applications in particular. Digital information by definition discrete. Unlike its analog counterpart. Another major advantage is that digital information can be duplicated an infinite number of times without any loss in quality in relation to the original.","رقمي : إشارات إلى استخدام جميع عمليات ترميز البيانات ، المرئيات ، معلومات الفيديو في صيغة ( شكل ) رقمية لغرض عملها بواسطة المعاني الحاسوبية واستخدامها لتطبيقات وسائط الإعلام الشاملة بصورة خاصة ، المعلومات الرقمية بتحديد أكثر ، غير مترابطة وهي لامتثال تلك النسخ المتطابقة ، والتقدم الكبير الآخر ، يتمثل في قدرة المعلومات الرقمية على التطبيق المزدوج للأرقام غير المحدودة في الوقت ذاته ، ومن دون فقدان أي شيء من كفاءتها في علاقاتها مع الأصل ."
"Electronic trading: Designed to replace banknotes and cheques by computerized means using magnetic or microprocessor cards.","تجارة إلكترونية : صممت لأن تحل محل الأوراق النقدية والصكوك المصرفية بمعنى حاسوبى باستخدام المغنطة أو بطاقة وحدة المعالجة .."
"E-mail: Refers to the transmission of messages and from computer to computer by remote users. The latter can send messages of files containing audio or video data to correspondent on the otherside of the world. Who can pick htem up later at will. As with any other form of mail service. Users need an address as their identity card.","البريد الإلكتروني : يشير المصطلح إلى عملية نقل الرسائل والبيانات من حاسوب إلى حاسوب آخر عن بعد . ويقدر في النهاية إرسال الرسائل ، أو محتويات الملفات المرئية أو بيانات الفيديو إلى مراسل آخر على الجهة الأخرى من العالم ، إذا كان بقدرته التقاط الرسائل بصورة جيدة ، أو أي شكل من الخدمات البريدية ، ولا يحتاج المستخدم للبريد الإلكتروني أكثر من عنوان وبطاقة تعريف ."
"Editorialize: j. (A) to include opinion of the writer in copy. (B) to inject or express personal opinion in a story, article, or script.","يكتب / يعبر عن رأي : مصطلح يشير إلى : أ ) منح رأي الكاتب إلى النسخة المعدة للنشر . ب ) تضمن الرأي الشخصي أو التعبير عنه في القصة ، المقال أو النص ."
"Editorial page .","صفحة المقالات :"
"Editorial Secretary","سكرتير تحرير :"
"Effects","تأثيرات :"
"Electrical Transcription: R. commercial recorded on tape or disc: abbr. ET.","اسطوانة مذاعة : تسجيل تجارى على شريط أو قرص ضوئي ."
"Electronic Editing : T. reassembling video and audio scenes in the desired sequence and length by DUBBING ( which see ) rather than physically cutting the tape .","تحرير إلكتروني : إعادة تركيب ( تجميع ) المشاهد المرئية أو الفيديو من حيث الطول والمساحة المطلوبة ( المرغوب فيها ) بواسطة إعادة التسجيل بدلا من تقطيع المسجل عليه ذاته ."
"Electronic Matte : T. term referring to the mixing of images from two cameras so the picture appears to be from one camera .","مزج إلكتروني : مصطلح يشير إلى خلط ( مزج ) تصورات أخذت من التي تصوير . ومن ثم تظهر الصورة وكأنها صادرة من آلة تصوير واحدة"
"Editing : BC . changing or arranging magnetic information on recording tape . J . preparing written material for publication by selection . annotation . revision . etc T . changing shots . electronically or physically . in sequence or length to create the desired pro- grammatic effects.","تحرير : – تغيير أو معلومات ممغنطة منظمة ( مرتبة ) على شريط تسجيل . – مواد مكتوبة محضرة للنشر بواسطة الاختيار التعليق أو التنقيح . . الخ . – لقطات متغيرة إلكترونيا ، أو ماديا ، في المجموع أو الطول رغبة خلق البرامج المؤثرة"
