English Term/Word,المصطلح/الكلمة بالعربية
butterfly,فراشة
butterflies,فراشات
brother,أخ
brothers,إخوة
younger brother,الأخ الأصغر
fly,يطير
eat,يأكل
hang out,يقضي وقتاً / يتسكع
bees,النحل
garden,الحديقة
pretty,جميل
farmer,فلاح / مزارع
sons,أبناء / أولاد
quarrelled,تشاجروا
bundle,حزمة / حزمة عصي
sticks,عصي / أعواد
order,يأمر
break,يكسر
fail,يفشل
untie,يفك / يحل
easily,بسهولة
rain,مطر
gift,هدية
nature,الطبيعة
mother earth,الأرض الأم
fertility,الخصوبة
prosperity,الازدهار
yield,محصول / إنتاج
essential,ضروري / أساسي
sustaining life,استمرار الحياة
afternoon,ظهيرة
jungle,غابة
resting,يرتاح
sleeping,ينام
parrot,ببغاء
naughty,شقي / مشاغب
monkey,قرد
mouse,فأر
mat,سجادة / حصيرة
owl,بومة
branch,غصن
swinging,يتأرجح
squeal,صرخة / صرير
spoilt,تضرر / تلف
scolding,توبيخ
greedy,طماع / جشع
hungry,جائع
bone,عظم
bridge,جسر
reflection,انعكاس
barking,ينبح
ant,نملة
dove,حمامة
spring,ينبوع
blade of grass,ورقة عشب
slipped,انزلق
drowned,غرق
plucked,التقطت / قطفت
leaf,ورقة شجر
hunter,صياد
net,شبكة
heel,كعب
tough time,وقت عصيب
strenuous efforts,جهود جبارة
vain,هباء / سدى
basket,سلة
cheese,جبن
tiny hole,ثقب صغير
starve,يتضور جوعاً
trap,فخ
crow,غراب
fox,ثعلب
praised,امتدح
flatterers,المتملقين
post office,مكتب البريد
postman,ساعي البريد
stamps,طوابع
scared,خائف
bus,حافلة / باص
creatures,مخلوقات
metamorphosis,التحول الشكلي / التطور
caterpillar,يرقة
pupa,شرنقة
zoo,حديقة الحيوانات
cages,أقفاص
cow,بقرة
calf,عجل
leather,جلد
moo,خوار
beak,منقار
wallet,محفظة
hair brush,فرشاة شعر
hare,أرنب بري
tortoise,سلحفاة
bragged,تفاخر / تباهى
race,سباق
Brother Butterflies,الفراشتان الأخوين
Union is Strength,الاتحاد قوة
Once upon a time,في قديم الزمان / كان يا ما كان
Rainy day,يوم ممطر
The Naughty Monkey,القرد الشقي
The Greedy Dog,الكلب الطماع
The Ant and the Dove,النملة والحمامة
The Hungry Mouse,الفأرة الجائعة
The Fox and the Crow,الغراب والثعلب
BEWARE OF FLATTERERS,احترس من المتملقين
The Post Office,مكتب البريد
My first day at School,يومي الأول في المدرسة
The Milkmaid and Her Pail,بائعة الحليب ودلوها
DON'T COUNT YOUR CHICKENS BEFORE THEY HATCH,لا تحسب دجاجاتك قبل أن تفقس
The Hare and the Tortoise,السلحفاة والأرنب البري
Fashion accessory,إكسسوار موضة
Personal items,أشياء شخصية
Credit cards,بطاقات الائتمان
ID cards,بطاقات الهوية
