"English Term","Arabic Term"
"A.M. : antemeridian","صباحا"
"A.M. station","محطة طويلة المدى"
"abbreviation","اختصار"
"abridged edition","طبعة مُختصرة"
"abridgement","اجزاء (القيود قانونية)"
"absolute sharpness","وضوح أقصى"
"abstract","خلاصة"
"abstract art","فن تجريدي (في مجال الفنون التشكيلية)"
"academy awards (oscars) (U.S.)","أوسكار (ال...) (جوائز أكاديمية السينما في الولايات المتحدة الأمريكية)"
"access channel","قناة للعموم"
"access time","وقت الدخول (هي فترة زمنية تُخصَّص لدخول بنك معطيات أو حاسوب مركزي)"
"access to sources of information","وصول (ال... إلى مصادر المعلومات)"
"accessories","لوازم (قطع جزئية تستعمل لتبديل القطع المعطوبة في جهاز أو آلة)"
"account","تقرير (في الصحافة ، بيان يروي الأخبار ويصف الوقائع)"
"accuracy","دِقَّة"
"achromatic","لالوئي"
"acid commentary","تعليق لاذع"
"acoustical isolation","غزل صوتي"
"acoustics","صوتيات"
"acredited journalist","صحفي مُعتمد"
"acronym","نحت أوائلي (كلمة منحوتة من الحروف الأولى لعدد من الكلمات، نحو كلمة ""ليزر"")"
"acting","تمثيل (في المسرح أو الإذاعة أو التلفزة أو السينما)"
"action; adventure (film)","فيلم مغامرات"
"action news","أخبار عيانية eyewitness news (أخبار ينقلها شاهد عيان من موقع الحدث)"
"actor; leading role","ممثل (ال...) الأول، دور (ال...) الأول"
"actor( actress)","ممثل (م. ممثلة)"
"actual campaign","حملة فعلية"
"actual coverage","نقل فعلي (في الإذاعة أو التلفزة)"
"actual size","حجم طبيعي"
"actuality","نقل من موقع الحدث"
"ad; advertisement","إعلان، إشهار"
"ad man","وكيل إعلان، وكيل إشهار"
"ad section","إعلانات مبوبة"
"ad writer","محرر إشهارات، محرر إعلانات"
"adaptation","اقتباس"
"addendum","إضافة"
"additional","برنامح إضافي"
"address","كلمة، خطاب"
"adjusting","ضبط"
"administration","إدارة"
"administrative deposit","إيداع قانوني (إيداع عدد من النسخ من كل إصدار دوري لدى وزارة الإعلام أو هيئة حكومية أخرى)"
"admission","مدخل الجمهور"
"advertising agent","وكيل إشهاري، وكيل إعلانات"
"admission fee","رسم الدخول"
"advertising appeal","إغراء إشهاري، إغراء إعلاني"
"advance for Sunday","مخصص لطبعة الأحد"
"advertising approach","أسلوب إشهاري، أسلوب إعلاني"
"advance story","ورقة أولية"
"advertising art","فن الإشهار، فن الإعلان"
"advertisee","هدف الإعلان، هدف الإشهار"
"advertising banner","عنوان بارز (للفت الأنظار)"
"advertisement beamed at wives","إشهار للنساء، إعلان للنساء"
"advertising brand","علامة إشهارية، علامة إعلانية"
"advertisement column","عمود الإعلانات"
"advertising campaign","حملة إشهارية، حملة إعلانية"
"advertisement magazine","حملة إعلانية، حملة إشهارية"
"advertising claim","زعم إشهاري، زعم إعلاني"
"advertisement message","رسالة الإعلان"
"advertising content","مضمون الإعلان، مضمون الإشهار"
"advertisement page","صفحة الإعلانات"
"advertising copy","نص الإعلان، نص الإشهار"
"advertisement space","مساحة إعلانية"
"advertising effectiveness","تأثير الإشهار، تأثير الإعلان"
"advertiser","مغلف"
"advertising","إشهار، إعلان"
"advertising advisor","مستشار إشهاري، مستشار إعلاني"
"advertising agency","وكالة إشهارية، وكالة إعلانات"
"advertising ethics","آداب الإشهار، آداب الإعلان"
"éthique publicitaire advertising film","فلم إشهاري، فلم إعلاني"
"film publicitaire advertising goal","غرض الإشهار، غرض الإعلان"
"objectif de la publicité advertising industry","صناعة الإشهار، صناعة الإعلان"
"industrie de la publicité advertising leaflet","نشرة إشهارية، نشرة إعلانية"
"prospectus publicitaire advertising literature","وثائق إشهارية، وثائق إعلانية"
"documentation publicitaire advertising manager","مدير الإشهار، مدير الإعلان"
"directeur publicitaire advertising market","سوق الإشهار، سوق الإعلان"
"marché de la publicité advertising matter","مطبوعات إشهارية، مطبوعات إعلانية"
"imprimés publicitaires advertising medium","وسيلة إعلانية"
"support publicitaire advertising message","رسالة إشهارية، رسالة إعلانية"
"advertising opportunity","فرصة إشهارية، فرصة إعلانية"
"créneau publicitaire; opportunité publicitaire advertising rates","أسعار الإعلان، أسعار الإشهار"
"tarifs publicitaires advertising regulation","أنظمة الإشهار، أنظمة الإعلان"
"(وهي القواعد التي تنظم العمل في هذا المجال) règlement de la publicité advertising schedule","جدول الإعلانات (لائحة تبيّن تسلسل إدراج الإعلانات)"
"calendrier d'insertion des annonces advertising slogan","شعار إشهاري، شعار إعلاني"
"slogan publicitaire advertising standards","أعراف الإشهار، أعراف الإعلان"
"(وهي القواعد العرفية أو القانونية التي تضبط العمل في هذا المجال) normes publicitaires advertising support","مساندة إعلانية"
"soutien publicitaire advertising time","فاصل إعلاني، فاصل إشهاري"
"temps de publicité advertising trade journal","صحيفة إعلانية متخصصة"
"journal professionnel de la publicité advertorial","مقال إعلاني، مقال إشهاري (في الصحافة المكتوبة)"
"advocacy advertising","إعلان قضية (مساحة إعلانية يشتر بها المعلن للدفاع عن قضية أو للتعريف بموقف)"
"aerial; antenna","هوائي"
"aerial advertising","إشهار جوي، إعلان جوي"
"aerial camera","كاميرة جوية"
"aerial image; aerial photograph","صورة جوية"
"aerial shooting","تصوير جوي"
"agency","وكالة"
"aggressive copy","نص مثير"
"aggressive reporting","استطلاع مثير"
"agony column","ركن الاجتماعيات (ركن ينشر إعلانات مبوّبة عن المتغيّبين والمفقودات والمناسبات الاجتماعية)"
"agreement","اتفاقية"
"ahead of schedule","مُبكّر (ما كان سابقاً لأوانه، أو ما وقع قبل موعده)"
"air date","تاريخ البث"
"air plug","مطرقة (إعلان يُبثّ في الإذاعة على فترات متقاربة)"
"airtime; broadcast","مدة البث، مدة الظهور (على الشاشة)"
"airwaves","موجات البث"
"all rights reserved","جميع الحقوق محفوظة"
"all-day-newspaper","يومية متعددة الطبعات"
"all-star-cast","فلم النجوم (فلم يشارك فيه عدد كبير من نجوم السينما)"
"alphabetical order","ترتيب القبالي"
"alteration","تعديل"
"alternative media","وسيلة إعلامية بديلة"
"alternative press","صحافة لا نظامية"
"alternative television","تلفزة بديلة"
"amateur film-maker","سينمائي هاو"
"amateur","مصور هاو"
"amendement","تعديل"
"amplifier","مَكْبَر"
"amplitude","modulation (AM) تعديل الموجة"
"analog","مَنَاطِر"
"analysis","تَحْلِيل"
"anchorperson (TV)","مُقَدَّم (المذيع الرئيسي الذي يُقَدَّم نشرة الأخبار التلفزة)"
"angle","زَاوِيَة"
"angle shot","لَفْظَة زَاوِيَة"
"animated cartoon","رسوم متحركة"
"animation","إِعْدَاد (الرسوم المتحركة)"
"annals","حَوْلِيَّات"
"annotation","تَحْشِيَة"
"announcement","إِعْلَان"
"announcer","مُعْلِن"
"annual; yearly","سَنَوِي"
"answer","جَوَاب"
"answering machine","رِدَادَة (آلة تسجيل صوتي يسجّل عليها جواب للمتصلين يسمعونه في حال غياب أصحاب المنزل ويدعوهم لذكر أعمالهم وأرقام هواتفهم)"
"anthology","مَحْتَارَات (أدبية أو موسيقية)"
"anticipated audience","جَهْوَر مَرْقَب"
"anti-jamming","مِضَادّ للتشويش"
"aperture (camera)","فَتْحَة (فتحة سجّاف الكاميرة، وهي تتحكّم في كمّية النور الوارد على الفلم)"
"apparatus","غُسْدَة"
"appearance","صُدُور (في الصحافة)، ظهور (على خشبة المسرح أو على الشاشة)"
"appearance date","تَارِيخ الصُّدُور"
"appendix","مُلْحَق"
"appointment","مَوْعِد"
"archives","مَحْفُوظَات (مكان حفظ الوثائق)"
"area sampling","تَعْيِين جُغْرَافِي"
"argumentative text","نصّ موثق (نصّ مستند إلى الحجج والوثائق وفق أصول البحث العلمي)"
"arrangement","توزيع موسيقي"
"art critic","ناقد فني"
"art department","قسم التصوير"
"art director","مدير المناظر"
"art editor","مدير قسم التصوير"
"art film","فلم فني"
"art house; art","قاعة السينما التجريبية"
"article","مقالة"
"artificial intelligence","ذكاء اصطناعي"
"artificial language","لغة اصطناعية"
"artificial voice","صوت اصطناعي"
"artist","فنان"
"artistic style","أسلوب فني"
"arts & entertainment","عروض وفنون"
"artwork department","قسم الإبداع"
"assessment","تقويم"
"assign; assignment","توزيع الأدوار"
"assignment","توزيع القنوات (broadcast)"
"assignment (on-)","في مهمة"
"assistant cameraman","مساعد المصور"
"assistant director","مساعد المخرج"
"assistant editor 1-","محرر مساعد"
"assistant manager","نائب المدير"
"assistant production manager","مساعد مدير الإنتاج"
"associate producer","مساعد المنتج (cinema)"
"atlas","أطلس"
"atmosphere","مناخ"
"attention-getting","جذاب (يجذب الانتباه ويلفت الأنظار)"
"attitude survey","دراسة المواقف"
"audibility","مسموعة"
"audience","حضور، جمهور، مشاهدون"
"audience analysis","تحليل الجمهور (من حيث المكونات والخصائص)"
"audience breakdown","توزيع الجمهور"
"audience format","برامج موجهة"
"audience loyalty","وفاء الجمهور (أي إخلاصه متمثلاً بمتابعة متصلة)"
"audience","قياس الجمهور (قياس درجة متابعة الجمهور)"
"audience","مشاركة الجمهور (في البرامج المفتوحة للعموم والتي تسجل فيها مشاركة الجمهور العادي)"
"audience","طريقة مشاركة"
"audience profile","مواصفات الجمهور"
"audience rating","مؤشر الاستماع"
"audience research","دراسة الجمهور (باستثناء عينة مختارة منه)"
"audience targetting","اختيار الجمهور (بانتقاء عينات عشوائية أو وفق منهج معين)"
"audience turnover","تحول الجمهور"
"audimeter","مقياس المتابعة (جهاز موصول بالتلفاز يودع لدى المشاهدين لقياس متابعتهم لبرامج التلفزة)"
"audio","سمعي"
"audio dubbing","ترجمة صوتية (دبلجة)"
"audio equipment","أجهزة سمعية"
"audio frequency","تردد صوتي (طيف اللوحات الصوتية التي يمكن لأذن الإنسان سماعها)"
"audio media","وسائل سمعية"
"audio mixer","مازح الصوت"
"audio signal","إشارة إذاعية"
"audio tape","شريط سمعي"
"audio tape recorder","مسجلة"
"audio visual","سمعي بصري"
"audio visual aids","معينات سمعية بصرية (معينات أو معدات سمعية بصرية يستعملها محاضر أو مدرس لمصاحبة عرضه)"
"audio visual","تقنية سمعية بصرية"
"audio wave","موجة سمعية، صوتية"
"audiodrama","تمثيلية إذاعية"
"audit","فحص"
"audit report","تقرير تدقيق التوزيع (تقرير يُعدّه مكتب المحاسبة للتحقق من عدد النسخ الموزّعة)"
"auditing of the","فحص التوزيع circulation"
"audition","استماع"
"auditorium","حُجْرَة (استوديو، وهو حجرة معزولة صوتياً لأجل الاستماع أو التسجيل الصوتي)"
"authentic text","نصّ أصلي"
"author","مؤلف"
"author of the script","كاتب الحوار (كاتب السيناريو، وهو مخطوط يحتوي نصّ الحوار في فلم أو مسرحية أو مسلسل تلفزي ويقطع النصّ إلى مشاهد)"
"authorization","إجازة"
"authorized sources","مصادر مأذونة"
"author-publisher","كاتب ناشر"
"author's fees","حقوق المؤلف"
"authorship","مهنة التأليف"
"author-title index","كشاف المؤلفين والمصنّفات"
"autobiography","سيرة ذاتية"
"autocue","عارض النصوص (جهاز محاذ لكاميرة التصوير يعرض نصّ الجريدة أمام مقدّم الأخبار)"
"autograph","توقيع"
"automatic answering","ردّ آلي"
"availability","مُتَاجِيَة"
"avant-garde","طَلِيعِيّ"
"average audience","معدّل الجمهور (المعدّل الوسيطي لعدد المتابعين من الجمهور)"
"average price","سعر متوسط"
"back cover; back page","ظَهْرَ الغلاف"
"back issue/number","عدد سابق"
"back up tape; protective tape","نسخة احتياط"
"background","تجربة (خلفية معطيات قاعدية)"
"background music","موسيقى مُصاحبة"
"background story","مقال استذكاري (مقال موثق يستعيد خلفية الأحداث)"
"backlighting","إضاءة خلفية (إضاءة من وراء المشهد أو الشخص المراد تصويره لخلق تباين في التنوير)"
"backstage","كواليس"
"back-to-back (commercial)","إعلانان مقرونان (في الصحافة المكتوبة)، إعلانان متتابعان (في الإذاعة والتلفزة)"
"bad copy","نسخة ودينة"
"bad news","خبر سيئ"
"badge","شارة"
"baffle; speaker","فارز الصوت"
"bait(ing)","مقال إغرائي، خادع"
"balance","موازنة"
"ban on release","ممنوع (من النشر أو البث)"
"band width","غرض الشريط"
"banderole","لافتة"
"bandstand","كشك موسيقى"
"banner line; headline","عنوان عريض (مانشيت)"
"battery","مُدَّخرة (بطارية)"
"battery-powered","مغذى مدمجة"
"beam","حزمة ضوئية، شعاع"
"beat","سبق صحفي"
"behavior research","دراسة السلوك"
"behavioral sciences","علوم السلوك"
"behind schedule","متأخر"
"behind the scenes","وراء الكواليس (خلف الستار)"
"being reprinted","قيد إعادة الطبع"
"best seller","أكثر (ال...) رواجاً (كتاب أو منتج يحقق أحسن المبيعات)"
"between the lines","بين السطور"
"bi-annual","نصف سنوي"
"bias","المجاز"
"biased advertizing","إعلان مُعرض"
"biased sample","عينة مُعرضة"
"bibliography","قائمة مراجع (بيبلوغرافيا)"
"bidirectional","ثنائي الاتجاه"
"big circulation magazine","مجلة واسعة الانتشار"
"big city press","صحافة المدن الكبرى"
"big time","نجاح"
"bill","إعلان"
"billboard","لوحة مُلصقات"
"billposting; billsticking","إلصاق"
"bi-monthly","نصف شهري"
"binary","ثنائي"
"binding","تجليد"
"biography","سيرة"
"bird's eye view","لقطة علوية (لقطة عمودية من أعلى إلى أسفل)"
"biweekly","نصف أسبوعية"
"black and white film","فلم بالأبيض والأسود"
"black and white TV","تلفاز بالأبيض والأسود"
"blackout","تعتيم، تعتيم الأنوار"
"blank","بياض، فراغ"
"blank tape","شريط فارغ (غير مسجل)"
"blanket area","منطقة واسعة"
"blanket circulation","توزيع واسع"
"blanket coverage","تغطية واسعة"
"blind ads","إعلانات مُغلقة"
"blow up","تكبير"
"blueprint","ورق سالب، طبعة تجريبية"
"blurb","دعاية فظّة"
"blurred image","صورة غائمة"
"board","لوحة"
"board of censors","لجنة المراقبة"
"board of directors","لجنة الإدارة"
"board of editors","هيئة التحرير"
"board of enquiry","لجنة تحقيق"
"body copy","شرح الإعلان (نصّ يصاحب إعلانا بالصور لشرحه أو لإزالة غموضه المُنتعل)"
"boldface, boldtype","حروف غليظة"
"bonus coverage","تغطية إضافية"
"book club","نادي الكتاب"
"book design","تصميم الكتاب"
"book fair","معرض الكتاب"
"book lover","هاوي القراءة"
"book publishing","نُشر"
"book review","عرض كتاب"
"bottom of page","أسفل الصفحة"
"book reviewer","ناقد أدبي"
"book trade","صناعة الكتاب"
"booking","تسجيل"
"booklet","كراس، كتيّب"
"box office success","قلم شباك"
"booklist","قائمة كتب"
"books on tape","كتاب ناطق"
"bookseller","كُتبي"
"bookseller and publisher","كتيبي ناشر"
"bookshop; bookstore","مكتبة"
"bookstali","كشك"
"boom issue","طبعة خاصة"
"boomerang effect","أثر رجعي"
"boosting","ترويج استقراري"
"booth","مقصورة"
"border","هامش"
"brightness","لمُعان"
"broadcast","بَثّ"
"broadcast (to)","أذاع"
"broadcast account of a match","نقل مباراة"
"broadcast","إعلان مُذاع (بالإذاعة أو التلفزة)"
"broadcast","بلاغ مُذاع (بالإذاعة أو التلفزة)"
"broadcast before al","برنامج عمومي audience"
"broadcast law","قانون الإعلام المرئي والمسموع والمسموع"
"broadcast media","وسائل الإعلام المرئية والمسموعة والمسموعة"
"broadcast","قسم مراقبة البثّ"
"broadcast news","جريدة إذاعية"
"broadcast time","مدّة البثّ"
"broadcaster","معلق ركن، صحفي (في الإذاعة والتلفزة) (في الإذاعة والتلفزة)"
"broadcasting","إذاعة"
"broadcasting","شبكة إذاعية"
"broadcasting","هيئة الإعلام المرئي (هيئة تقوم بتنظيم قطاع الإعلام المرئي والمسموع وذلك بتوزيع القنوات ومنح رخص البثّ الخ)"
"broadcasting station","محطة إذاعة، محطة تلفزة"
"broadcasting studio","حجرة الإذاعة، حجرة التلفزة (استوديو)"
"brochure","كتيب"
"bulk circulation","توزيع إجمالي"
"bulletin","نشرة الأنباء"
"bulletin board","حائطية (لوحة على حائط للملصقات الإعلانية)"
"bureau","مكتب"
"burning question","قضية ساخنة"
"bus advertising","إعلان حافلة (إعلان يلصق على الحافلة أو فيها)"
"business news","ركن الاقتصاد"
"business opportunity","فرصة عمل"
"buzz(to)","هاتف"
"business press","صحافة اقتصادية"
"byline","بقلم"
"button","زرّ"
"byline(d) story","مقال موقّع"
"buyer survey","استير الزبائن"
"buyout (to)","اشترى حقوقا"
"cable","كَبْل"
"camera car","سيارة التصوير"
"cablecasting","تلفزة، بَتّ كَبْلِي"
"camera control unit","وحدة مراقبة التصوير"
"cablecasting network","شبكة تلفزة، شبكة كَبْلِيَة"
"camera coverage","مجال التصوير (المجال الذي يمكن للكاميرة أن تصوّر فيه)"
"cabled home","مسؤل مُوصّل"
"camera crane","رافعة الكاميرة"
"cabled network","شبكة كَبْلِيَة"
"camera crew","فريق التصوير"
"call","مكالمَة"
"camcorder","كاميرة محمولة"
"camera","مصورة (كاميرة)"
"camera booth","حجرة التصوير"
"camera shot","لقطة"
"candid camera","كاميرة (ال...) الخلفية"
"capacity","صنعة"
"capital letters (caps)","حروف (ال...) الكبيرة"
"caption","استهلال"
"captive audience","جمهور مشدود"
"car radio","مذياع السيارة"
"card","بطاقة"
"card catalogue","فهرس البطاقات"
"caricature","كاريكاتير"
"carpenter (audio visual)","مصمم المناظر (يضع هيكل المناظر ويشرف على صيانة لوازم الديكور)"
"cartoon film","فلم رسوم متحركة"
"cartoonist","رسام كاريكاتير"
"cartoons","رسوم متحركة، رسوم هزلية"
"case study","دراسة حالة"
"cassette recording","تسجيل شريط"
"cast 1-","تمثيل"
"cast credit","مقدمة الغلم"
"cast list","قائمة الممثلين"
"casting director","مدير توزيع الأدوار"
"catalogue","دليل"
"catch line","علامة"
"catch title","عنوان مثير"
"catch word","لفظ مثير"
"category","صيف"
"cathode-ray tube","شاشة مهبطية"
"celebrity","شهرة، شخصية شهيرة"
"cellular","خلوي"
"censor","رقيب"
"censor's certificate","تأشيرة الرقابة"
"censorship","رقابة"
"census","إحصاء"
"center of page","وسط الصفحة"
"center spread","صفحة الوسط المزدوجة"
"centering","تأطير (تأطير العناصر المراد تصويرها)"
"central processing","وحدة المعالجة المركزية unit"
"chain of newspaper","مجموعة صحفية (مجموعة من الصحف في ملكية شخص أو شركة)"
"channel","قناة"
"channel scheduling","برمجية القنوات"
"channels of","قنوات الاتصال communication"
"chapter","فصل"
"character 1-","دور مميز (في مسرحية أو قلم، وغالبا ما يكون دوراً يمثل شخصية ذات طباع خاصة غريبة الأطوار) الطباعة)"
"character casting","توزيع الأدوار"
"chare","إسهام"
"cheap edition","طبعة رخيصة"
"checkbook","صحافة مأجورة (توصف أحياناً بأنها صحافة ""صفراء"" تعبيراً عن الازدراء)"
"checking copy","نسخة مرجعية"
"chief cameraman","مدير التصوير"
"children's film","فلم للأطفال"
"children's programme","برنامج للأطفال"
"children's publications","مطبوعات للأطفال"
"children's viewing","فترة الأطفال (حصة زمنية في البرامج مخصصة للأطفال)"
"choreography","فنّ الرقص، تصميم الرقص"
"chromatic","لوبي"
"chronicle","رُكْن"
"chronicler","صحفي ركن"
"chronological order","تسلسل زمني"
"cinamascope","شاشة عريضة (سينما سكوب)"
"cinema","خيالة (سينما)"
"cinema star","نجم سينمائي"
"cinema actor","ممثل سينمائي"
"cinema advertising","إعلان بالسينما، إشهار بالسينما"
"cinema commercial","فلم إعلاني، فلم إشهاري"
"cinema fan; cinema","هاوي السينما"
"cinema goer","مرتاد السينما"
"cinema manager","مدير قاعة (في مجال السينما)"
"cinema rights","حقوق الاقتباس السينمائي"
"cinematography","صناعة السينما"
"circulation","توزيع"
"circulation area","منطقة التوزيع"
"circulation auditing","تدقيق التوزيع"
"circulation","حصص التوزيع"
"circulation control","مراقبة التوزيع"
"circulation","قسم التوزيع، قسم"
"circulation figure","أرقام التوزيع"
"circulation manager","مدير المبيعات"
"circulation rate","نسبة التوزيع"
"citation; quotation","استشهاد، مرجع"
"city edition","طبعة العاصمة"
"city editor 1-","محرر أخبار اليوم"
"city page","صفحة محلية"
"class magazine","مجلة متخصصة، مجلة راقية (وهي مجلة أنيقة تُطبع غالباً على ورق صقيل)"
"classification","تصنيف"
"classified","إعلانات مبوبة"
"classified column","عمود الإعلانات المبوّبة"
