"English Term","Arabic Term"
"emphasis","إبراز 'إبراز صحفي'"
"running attitude","الاتجاه الحالي (في الإعلان)"
"cognitive consistency","اتساق معرفي"
"development communication","اتصال تنموي"
"discursive communication","اتصال خطابي"
"defensive communication","اتصال دفاعي"
"population communication","اتصال سكاني"
"face to face communication","اتصال مواجهه"
"office automation","أتمتة مكتبية"
"trap effect","أثر الشرك"
"demise","احتجاب الصحيفة"
"business news","أخبار المال والتجارة"
"developmental news","أخبار تنموية"
"cultural imperialism","استعمار ثقافي"
"fact finding","استقصاء الحقائق"
"execution studio","أستوديو التنفيذ"
"comprehension","استيعاب"
"journalese","أسلوب صحفي"
"female style","أسلوب نسوي"
"stylistics","الأسلوبية"
"brand name","اسم تجاري"
"pen name","اسم مستعار"
"signal","إشارة"
"radiation","إشعاع"
"front lighting","إضاءة خلفية"
"media economics","اقتصاديات الإعلام"
"persuasion","إقناع"
"metaphorical persuasion","إقناع استعاري"
"interpolation","إكمال بالتحريف"
"americanization","أمركة"
"attention","انتباه"
"presidential election","انتخابات رئاسية"
"news selection","انتقاء الأخبار"
"ego involvement","الاندماج الذاتي"
"media convergence","اندماج وسائل الإعلام"
"readability","انقرائية"
"soap opera","أوبرا الصابون (دراما تليفزيونية)"
"suggestion","إيحاء"
"prewriting computer program","برنامج ما قبل الكتابة"
"letters to the editor","بريد القراء"
"point","بنط (حجم الحرف)"
"light face","بنط أبيض"
"misstatement","بيان كاذب"
"covering statements","بيانات التغطية"
"pica","بيكا"
"houses of culture","بيوت الثقافة"
"concentration of ownership","تركيز الملكية"
"marketing","تسويق"
"information legislations","تشريعات إعلامية"
"encoding","تشفير"
"statement","تصريح ، بيان"
"layout","تصميم الصفحات"
"research design","تصميم بحث"
"characterization","تصوير الشخصية"
"misinformation","تضليل إعلامي"
"contest","تعارض"
"pluralism","تعددية"
"modulation","تعديل"
"double exposure","تعريض مضاعف"
"advertising rate","تعريفة الإعلان"
"deregulation","تحرر من القيود التنظيمية"
"distortion","تحريف"
"literary reportage","تحقيق أدبي"
"argumentation analysis","تحليل الأطروحات"
"second analysis","التحليل الثاني"
"discourse analysis","تحليل الخطاب"
"content analysis","تحليل المضمون"
"system analysis","تحليل النظم"
"future analysis","تحليل مستقبلي"
"counter measure","تدبير مضاد"
"journalistic translation","ترجمة صحفية"
"photomontage","تركيب الصور (فوتومونتاج)"
"open university","جامعة مفتوحة"
"newness","الجدّة"
"TV scheduling","جدولة البرامج التليفزيونية"
"publication crimes","جرائم النشر"
"gazette","جريدة رسمية"
"focus group","جماعة بؤرية"
"fact collecting","جمع الحقائق"
"double columned","جمع على عمودين"
"hand composition","جمع يدوى"
"target public","جمهور مستهدف"
"compositor","جميع ( جامع الحروف )"
"monitor","جهاز مراقبة (مرقاب)"
"cackler","ثرثار"
"visual culture","ثقافة بصرية"
"mass culture","ثقافة جماهيرية"
"psychological war","الحرب النفسية"
"roman","حرف روماني"
"camera movement","حركة الكاميرا"
"slow motion","حركة بطيئة"
"display type","حروف العناوين"
"freedom of speech","حرية التعبير"
"liberty of the press","حرية الصحافة"
"abused freedom of press","حرية الصحافة المساء استخدامها"
"freedom of criticism","حرية النقد"
"redundancy","حشو"
