"English Term","Arabic Term","Category"
"Literal Translation","الترجمة الحرفية (الالتزام بالمعنى الظاهري للمفردات دون اعتبار للسياق أو الثقافة)","translation_concepts"
"Idiomatic / Free Translation","الترجمة الحرة / التفسيرية (إعادة صياغة المعنى بأسلوب يستوعبه قارئ اللغة الهدف)","translation_concepts"
"Machine Translation (MT)","الترجمة الآلية / الترجمة الكمبيوترية","translation_concepts"
"Computer-Assisted Translation (CAT)","الترجمة بمساعدة الحاسوب","translation_concepts"
"Source Language (SL)","اللغة المصدر (اللغة الأصلية للمنقول منه)","translation_concepts"
"Target Language (TL)","اللغة الهدف (اللغة المنقول إليها)","translation_concepts"
"Proper Nouns","أسماء الأعلام (الأشخاص، المدن، الأماكن الجغرافية)","linguistic_aspects"
"Abstract Nouns","الأسماء المجردة (مثل: الحرية، العدالة، الصبر)","linguistic_aspects"
"Collective Nouns","أسماء الجمع / الأسماء الكلية (مثل: family, team, committee)","linguistic_aspects"
"Idioms & Expressions","التعبيرات الاصطلاحية والاستعارات","linguistic_aspects"
"Terminology / Technical Terms","المصطلحات العلمية والفنية المتخصصة","linguistic_aspects"
"Transliteration","الترجمة الحرفية الصوتية / النقحرة (نقل نطق اسم العلم بأسلوب كتابة اللغة الهدف، مثل: Doctor → دكتور)","linguistic_aspects"
"British vs. American English","الفروق بين الإنجليزية البريطانية والأمريكية (الهجاء Spelling، المفردات Vocabulary، والقواعد Grammar)","linguistic_aspects"
"It is raining cats and dogs","إنها تمطر بغزارة (وليس حرفياً: تمطر قططاً وكلاباً)","example_patterns"
"He bit the dust","لَقيَ حتْفَه / سقط قتيلاً (وليس: عضّ التراب)","example_patterns"
"Justice must be served","يجب أن تتحقق العدالة (تحويل الاسم المجرد إلى صياغة تناسب العربية)","example_patterns"
"The committee has submitted its report","قدمت اللجنة تقريرها (إفراد الضمير للفاعل الكلي)","example_patterns"
"The team are arguing among themselves","يتجادل أعضاء الفريق فيما بينهم (الاسم الكلي كجمع بحسب السياق البريطاني)","example_patterns"
"I have just eaten (British) / I just ate (American)","لقد أكلتُ للتوّ","example_patterns"
"At the weekend (British) / On the weekend (American)","في عطلة نهاية الأسبوع","example_patterns"
