"English Term","Arabic Term","Variant"
"apartment","شقة","US (UK: flat)"
"flat","شقة","UK (US: apartment)"
"pitcher","إبريق","US (UK: jug)"
"jug","إبريق","UK (US: pitcher)"
"mortician","حانوتي","US (UK: undertaker)"
"undertaker","حانوتي","UK (US: mortician)"
"downtown","وسط المدينة","US (UK: town centre)"
"town centre","وسط المدينة","UK (US: downtown)"
"gas / gasoline","بنزين","US (UK: petrol)"
"petrol","بنزين","UK (US: gas / gasoline)"
"movie","فيلم سينمائي","US (UK: film)"
"film","فيلم سينمائي","UK (US: movie)"
"corn","ذرة","US (UK: maize)"
"maize","ذرة","UK (US: corn)"
"broiled","مشوي","US (UK: grilled)"
"grilled","مشوي","UK (US: broiled)"
"elevator","مصعد (أسانسير)","US (UK: lift)"
"lift","مصعد (أسانسير)","UK (US: elevator)"
"faucet","حنفية (صنبور الماء)","US (UK: tap)"
"tap","حنفية (صنبور الماء)","UK (US: faucet)"
"candy","حلوى","US (UK: sweets)"
"sweets","حلوى","UK (US: candy)"
"broil","يشوي","US (UK: grill)"
"grill","يشوي","UK (US: broil)"
"crib","مهد (الطفل)","US (UK: cot)"
"cot","مهد (الطفل)","UK (US: crib)"
"detour","تحويلة طريق","US (UK: diversion)"
"diversion","تحويلة طريق","UK (US: detour)"
"crazy","مجنون","US (UK: mad)"
"mad","مجنون / غاضب","UK (US: crazy / angry)"
"bar","حانة","US (UK: pub)"
"pub","حانة","UK (US: bar)"
"bar tender","ساقي الحانة","US (UK: barman)"
"barman","ساقي الحانة","UK (US: bar tender)"
"billfold","حافظة نقود","US (UK: wallet)"
"wallet","حافظة نقود","UK (US: billfold)"
"diaper","حفاضة طفل (كفولة)","US (UK: nappy)"
"nappy","حفاضة طفل (كفولة)","UK (US: diaper)"
"drape","ستارة","US (UK: curtain)"
"curtain","ستارة","UK (US: drape)"
"hood","كبود السيارة","US (UK: bonnet)"
"bonnet","كبود السيارة","UK (US: hood)"
"pants","بنطلون","US (UK: trousers)"
"trousers","بنطلون","UK (US: pants)"
"math","الرياضيات","US (UK: maths)"
"maths","الرياضيات","UK (US: math)"
"ZIP Code","الرمز البريدي","US (UK: post code)"
"post code","الرمز البريدي","UK (US: ZIP Code)"
"sidewalk","طوار (رصيف)","US (UK: pavement or curb)"
"pavement or curb","طوار (رصيف)","UK (US: sidewalk)"
"pajama","منامة (بيجامة)","US (UK: pyjama)"
"pyjama","منامة (بيجامة)","UK (US: pajama)"
"vest","فانيلة (بريطاني) / صديري (أمريكي)","BR: فانيلة — AM: صديري"
"pants","لباس داخلي (بريطاني) / بنطلون (أمريكي)","BR: لباس داخلي — AM: بنطلون"
