"English Term","Arabic Term","Arabic Definition"
"((Model))","النموذج","أنظر: النظرية (والنموذج يشير عادة إلى تقاليد عامة أو افتراضات وأدوات تكتيكية لأنظمة علمية خاصة، وهناك رابطة منطقية Logical Connection تجمع بين النموذج والنظرية، فالنماذج تكتب مكان النظرية شريطة أن تكون قابلة للإثبات التطبيقي الكافي Sufficient Empirical Confirmation"
"(IMF) International Monetary Fund","صندوق النقد الدولي","صندوق النقد الدولي منظمة دولية اقتصادية، ولها دور سياسي واضح وكبير، وتتصف بأنها منظمة فوق أممية خ اصة بتصحيح المسارات الاقتصادية للدول.. أنشيء بمقتضى اتفاقية بيريتون وودز عام ١٩٤٧ للإشراف على الجوانب النقدية للمدفوعات الدولية ولتحقيق استقرار أسعار العملات وعدم تعددها وإلغاء الرقابة على الصرف بغرض تشجيع التبادل الدولي مع العمل على تحقبق توازن موازين المد فوعات، وكذلك منح الدول والحكومات القروض اللازمة للإصلاح الاقتصادي ومراقبة الحالة الاقتصادية العالمية، ومقره نيويورك."
"(NATO)","حلف شمال الأطلنطي","وهو حلف دفاعي عسكري أقيم عقب الحرب العالمية الثانية بين دول الحلفاء لمواجهة الحرب الباردة من الكتلة الاشتراكيةو، أقيم عام ١٩٤٩ م بين دول غرب أوروبا والولايات المتحدة وكندا، وهو تعاون عسكري للدفاع عن أراضي الغرب وحضارته وتراثه، ويضم في عضويته الآن أكثر من ١٥ دولة بما فيها الدول الشيوعية التي استقلت عن الكتلة الاشتراكية المنهارة وعلى رأسها روسيا."
"(O A U) The Organization Of African Unity Organisation For Economic Co- Operstion And Development (OECD)","منظمة الوحدة الأفريقية","هي منظمة خاصة بالدول الأفريقية مقرها أديس أبابا وأنشئت في المؤتمر التأسيس للمنظمة عام ١٩٦٣ م بحضور القادة الأفارقة، ولها أجهزة مختلفة منها الأمانة العامة والمؤتمر الوزاري ومؤتمر القمة السنوي الذي يعقد في دولة من الدول، وساهمت المنظمة في تحرير باقي الدول الأفريقية حتى أصبح عدد الأعضاء ٥١ دولة، وتحولت إلى الاتحاد الأفريقي عام ٢٠٠٢ م، ليصبح الوريث لهذه المنظمة."
"(OPEC) Organisation Of Petroleum Exporting Countries","أوبك","وهي منظمة دولية تجمع اغلب الدول المصدرة للنفط) البترول (وهدفها الأول هو الحفاظ على مصالح الدول الأعضاء المنتجة للنفط والتنسيق فيما بينها بقصد وضع نظام يكفل استقرار أثمان البترول وتح ريرها من التقلبات المفتعلة، أنشئت في مدينة كاراكاس عاصمة فنزويلا في يناير ١٩٦١ م من العراق والكويت وإيران والسعودية وقطر وفنزويلا والإمارات) أبوظبي حينذاك (، وانضم إليها الجزائر وليبيا وأندونسيا ونيجيريا والجابون والإكوادور ١٣) دولة أعضاء (ومقرها الآن في مدينة فيينا العاصمة النمساوية."
"(UN) Economic And Social Council (ECOSOC)","المجلس الاقتصادي والاجتماعي التابع للأمم المتحدة","هو أحد الأجهزة الرئيسية للأمم المتحدة، ويهتم بالجوانب الاقتصادية والاجتماعية في تنمية الشعوب المختلفة..."
"(USAID) United States Agency For International Development","وكالة التنمية الدولية الأمريكية","هي الجهة المختصة في الإدارة الأمريكية لتقديم مساعدات مختلفة لمختلف شعوب العالم ضمن الميزانية الفيدرالية الأمريكية، من خلال الدفاع عن المصالح الأمريكية، بشرط إشراف الوكالة على عملية إنفاق مبالغ المساعدات والتي غالبا ً مالا تكون مساعدات نقدية بل تكون مساعدات من خلال مشروعات مختلفة تستخدم فيها الخبرة والتكنولوجيا الأمريكية."
"A Decision Not tO Decide","عدم اتخاذ قرار هو قرار","هو نوع من ممارسات القوة يمكن ملاحظتها Observable ، بمعنىأن يكون من الصعب اتخاذ قرار معين فيكون القرار هو عدم التغيير."
"Abstract Rationalism","العقلانية المجردة","هي سمة المثقفين في المجتمعات الغربية الذين يسايرون التغير أكثر مما يقودونه، فهم محافظون وتابعون للأنظمة الاجتماعية والسياسية المسيطرة، ويلعبون دورا ً أقل."
"Acceptability","التقبل","أنظر: الرضى والتقبل هو أساس عملية الرضى في النماذج الاعتيادية للسلوك السياسي والاجتماعي، وهي تعني قبول مخرجات النظام من قبل الجزء الأكبر من الشرائح الاجتماعية"
