"English Term","Arabic Term"
"absence","غِيَاب، عَدَمُ وجود"
"act","عَمَل، فِعْل، تَمَثِيل"
"actor","عَامِل، قُوَّة مُحَرِّكَة، مُمَثِّل"
"actualization","التَّحْقِيق، التَّجْسِيد"
"analepsis","الاسترجاع، الاستدعاء، الاستحضار من الماضي، التذكُّر"
"analogic communication","التَّوَاصُل الرُّوحِي، التَّوَاصُل الجَوَّانِي"
"androcentric","يَرْتَكِزُ عَلَى الرَّجُل"
"androcratic","حُكْمُ الرَّجُلِ"
"androgyny","وَحْدَةُ الْجِنْسَيْنِ، الْخُنْثَوِيَّةِ"
"anisochrony","التَّفَاوُتُ بَيْنَ زَمَنِ الْقِصَّةِ وَزَمَنِ قِرَاءَتِهَا"
"anticipation","التَّوَقُّعُ، الِاسْتِبَاقُ"
"anxiety of influence","قَلَقُ التَّأَثُّرِ"
"apophrades","الْبُغْثُ، بَثُّ رُوحِ الْقَدِيمِ فِي الْجَدِيدِ"
"arche-writing","الكتابة الأولى، الكتابة القديمة"
"architext","النُّصُّ الأَوَّلُ"
"archive","أرشيف، دار المحفوظات"
"askesis","التَّطْهِيرُ"
"aspect","المَنْظَرُ، الرُّؤْيَةُ (مَظْهَرٌ، جَانِبٌ)"
"assimilation","الاسْتِيعَابُ، التَّمَثُّلُ"
"aura","هَالَة، جَاذِبِيَّة"
"author","المؤلَّف"
"binary; binarism","الثُّنَائِيُّ؛ الثُّنَائِيَّةُ، التَّحْلِيلُ الثُّنَائِيُّ"
"body","الجِسْم"
"bottom-up (perspective)","(مَنْظُور) مِنَ الْقَاعِدَةِ إِلَى الْقِمَّةِ"
"bricoleur","البَنَاءُ البَدَائِي"
"brisure","الانكسار، لَحَظَاتُ الْقَصْمِ أَوِ الانْفِصَامِ، لَحَظَاتُ الْقَطْعِ"
"carnival","كَرْنِفَال، مِهْرَجَانْ شَعْبِي، احْتِفَالْ طَقْسِي"
"catalyses","أَحْدَاثٌ غَيْرُ أَسَاسِيَّةٍ (لِلرِّوَايَةِ)"
"centre","مَرْكَز"
"centrifugal; centripetal","الحَرَكَةُ مِنَ الوَسَطِ إِلَى الخَارِجِ؛ الحَرَكَةُ مِنَ الخَارِجِ إِلَى الوَسَطِ"
"character","شَخْصِيَّة"
"character zone","نِطَاقُ أو مُنْطَقَةُ الشَّخْصِيَّةِ"
"Chinese box narrative","الْقِصَّةُ داخلَ الْقِصَّةِ"
"chronological deviation","انْحِرَافُ التَّسَلْسُلِ الزَّمَنِي"
"chronotope","الْمَلَامِحُ الزَّمَنِيَّةُ وَالْمَكَانِيَّةُ الْخَاصَّةُ بِكُلِّ نَوْعٍ أَدَبِيٍّ، الزَّمَكَانِيَّةِ"
"circulation","الدَّوْرَةُ، التَّوْزِيعُ، التَّعْمِيمُ"
"cleavage","الْكَسْرُ، الْقَطْعُ"
"clinamen","سُوءُ التَّفْسِيرِ، خَطَأُ الْقِرَاءَةِ"
"closed texts","نُصُوصٌ مُغْلَقَةٌ"
"closure","الإِغْلَاقُ، الإِقْفَالُ، النِّهَايَةُ"
"Code","الشَّفْرَةُ"
"competence and performance","القُدْرَة والأداء"
"conative","نُزُوعِي"
"concretization","التَّجْسِيد"
"condensation and displacement","التَّكْثِيفُ وَالإِخْلَالُ أَوِ الإِزَاحَةُ"
"conjuncture","لَحْظَةٌ، نُقْطَةُ التِّقَاءِ زَمَنِيَّةٌ"
"connotation and denotation","ظِلَالُ الْمَعَانِي وَالْمَعَانِي الْمُحَدَّدَةُ"
"consonant closure","النِّهَايَةُ، الإِغْلَاقُ الْمُتَنَاغِمُ"
"consonant psycho-narration","السَّرْدُ النَّفْسِيُّ الْمُتَنَاغِمُ"
"constatives","الأُسْلُوبُ الخَبْرِيُّ"
"contact","الصِّلَةُ، الاتِّصَالُ"
"context","السِّيَاقُ"
"contiguity","التَّلَامُسُ، التَّمَاسُ، الاتِّصَاقُ"
"Convention","العُرْفُ"
"conventionalism","المذهب القائم على العرف، العرفية"
"conversational implicature; maxims","مبادئ المحادثة، المعاني المضمرة في المحادثة، الإضمار الحواري"
"cooperative principle","مبدأ التعاون"
"Copernican revolution","ثورة كوبرنيكوس"
"covert plot","الْحَبْكَةُ الْخَفِيَّةُ"
"cratylism","الْكَرَاتِيلِيَّةُ، الْعَلَاقَةُ الْوُجُودِيَّةُ بَيْنَ اللَّفْظِ وَالْمَعْنَى"
"crisis","الْأَزْمَةُ، نُقْطَةُ التَّحَوُّلِ"
"critics of consciousness","نُقَّادُ مَدْرَسَةِ الْوَعْيِ"
"crosstalk","سُوءُ التَّفَاهُمِ (فِي الْحِوَارِ)، تَضَارِبُ الْمَقَاصِدِ (فِي الْحِوَارِ)"
"cultural code","الشَّفْرَةُ الثَّقَافِيَّةُ"
"culture","الثَّقَافَةُ"
"defamiliarization","التَّغْرِيبُ، نَزْعُ الْأُلْفَةِ، كَسْرُ التَّعَوُّدِ"
"default interpretation","التَّفْسِيرُ الظَّاهِرُ، التَّفْسِيرُ الْقَرِيبُ"
"deferred/postponed significance","الدَّلَالَةُ الْمُرْجَاةُ أَوِ الْمُؤَجَّلَةُ"
"deformation","تَحْوِيلُ الصُّورَةِ، تَغْيِيرُ الشَّكْلِ"
"degree zero","دَرَجَةُ الصَّفْرِ (للكتابة)"
"deixis","تَحْدِيدُ الزَّمَنِ أَوْ الْمَكَانِ"
"delayed decoding","تَأْخِيرُ فَكِّ الشَّفْرَةِ، تَأْخِيرُ حَلِّ الشَّفْرَةِ"
"denaturalization","التَّغْرِيبُ، نَزْعُ الْمَظْهَرِ الطَّبِيعِيِّ"
"denotation","الدَّلَالَةُ عَلَى مَعْنًى مُحَدَّدِ"
"desire","الرَّغْبَةُ، يَرْغَبُ"
"diacritical","عَلَامَةٌ مُمَيَّزَةٌ، عَلَاقَةٌ تَمْيِيزٌ، اخْتِلَافٌ، مُمَيَّزٌ، تَمْيِيزٌ"
"dialect","لَهْجَةُ"
"dialectics","عِلْمُ الجَدَلِ، الجَدَلِيَّةِ، الجَدَلِيَّاتِ"
"dialogic","حِوَارِي، جَدَلِي، تَفَاعُلِي"
"diegesis and mimesis","الحديثُ المباشِرُ ومن خلالِ شَخْصِيَّةِ"
"difference","الاختلاف والإرجاء"
"difference","الاختلاف"
"digital and analogic communication","التَّوَاصُلُ الرَّقْمِيُّ والجَوَّانِيُّ (أو الرُّوحِي)"
"directives","تَوَجِيهَات"
"disavowal","التَّأْكِيدُ بِالْإِنْكَار"
"discourse","الْخِطَابُ، الْكَلَامُ، الْحَدِيثُ"
"discursive practice","مُمارَسَةُ الخِطاب"
"displacement","الإِخْلال، الإِزاحَة"
"displayed","المَغْرُوض، المُقَدَّم، المُبَيِّن"
"dispositif","الجِهَازُ الفِكْرِي"
"dissemination","الانْتِشار، النَّشْر، التَّنَاشُر"
"dissonant closure","النَّهَائِيَّةُ الْمُتَنَافِرَةُ، الإِغْلَاقُ الْمُتَنَافِرُ"
"dissonant psycho-narration","السَّرْدُ النَّفْسِيُّ الْمُتَنَافِرُ"
"distance","الابْتِعَادُ، الْمَسَافَةُ، الْبُعْدُ"
"dominant","السَّائِدُ، الْمُهَيْمِنُ"
"dominant discourse","الْخِطَابُ السَّائِدُ، الْخِطَابُ الْمُهَيْمِنُ"
"dominant ideology","الْأَيْدِيُولُوجِيَا السَّائِدَةُ، الْأَيْدِيُولُوجِيَا الْمُهَيْمِنَةُ"
"double-bind","ازدواج المغنى، المفارقة"
"duration","المدة الزمنية"
"durative anachrony","الانحراف الممتدّ"
"echolalia","تجاوُبُ الأصداء"
"ecological validity","صِحَّةُ بَيْتَةِ التَّجْرِبَةِ، صِحَّةُ أَوْ صَلَاحِيَّةُ ظُرُوفِ التَّجْرِبَةِ"
"écriture","الكتابة"
"écriture féminine","الكتابة النسائية"
"ellipsis","الحَذْفُ، الفَجْوَةُ، الثَّغْرَةُ"
"embedded event","الحَادِثَةُ دَاخِلَ الحَادِثَةِ"
"embedded narrative","السَّرْدُ دَاخِلَ السَّرْدِ، حِكَايَةُ دَاخِلَ حِكَايَةِ"
"embedding","الإِدْرَاجُ، التَّبْطِينُ، وَضْعُ شَيْءٍ فِي بَطْنِ شَيْءٍ"
"emotive","العَاطِفِي"
"empirical, empiricism","إمْبِيرِيقِي عَمَلِي، تَطْبِيقِي، وَاقِعِي، تَجْرِيبِي"
"empirical reader","القارئ الإمبريقي"
"empiricist fallacy","خرافة الإمبريقا"
"emplotment","صياغة الحبكات، وضع الحبكة"
"enchained event","الحادثة المرتبطة (بغيرها)"
"energy","الطاقة"
"énoncé; énonciation","الجملة المنطوقة؛ النطق"
"enthymeme","كلمة السر"
"entrapment","الإيقاعُ في الفَخِّ"
"enunciate","يَنْطِقُ"
"enunciation","النُّطْقُ"
"ephebe","فَارِسُ الشِّعْرِ الشَّابِّ، شَاعِرُ شَابِّ"
"episodic narrative","رِوَايَةُ الوَقَائِعِ المُنْفَصِلَةِ"
"episteme","القاعدةُ المُعْرِفِيَّةُ الشَّامِلَةُ"
"epistemological break","التَّحَوُّلُ المُعْرِفِي، انْكِسَارُ خَطِّ المُعْرِفَةِ"
"epoche","التَّجَرُّدُ"
"erasure","الشُّطَبُ، المَحْوُ"
"essentialism","المذهبُ الجوهري، الجوهريّة"
"event","الحادثة"
"exchange","المبادلات، البورصة"
"exchange value","القيمة الصرفية"
"exotopy","ابْتِعَادُ الْمُؤَلِّفِ عَنْ شَخْصِيَّاتِهِ"
"expressive","تَغْيِيرِي"
"extent","النُّطَاق"
"exteriority","المَظَاهِرُ الخَارِجِيَّة"
"extradiegetic","خَارِجُ القِصَّة"
"faultline","خَطُّ الانكسار، خَطُّ التَّصَدُّع، الفَلَق، نُقْطَةُ الضَّعْف"
"felicity conditions","الأخوال الصَّالِحَة"
