id,term,definition,source_file
1,admission fee gory,الدخول,معجم المصطلحات الاعلامية
2,angle shot,لقطة زاوية,معجم المصطلحات الاعلامية
3,mg,عشوائية و وفق منهج معين) ينات او,معجم المصطلحات الاعلامية
4,board of editors,هيئة التحرير,معجم المصطلحات الاعلامية
5,kf aa ale,(وهي تُطبع غالبا على ورق صقيل) أنيقة,معجم المصطلحات الاعلامية
6,regulation,الي تنظم العمل في هذا وهي,معجم المصطلحات الاعلامية
7,AO,في حال غياب أصحاب المتزل الت ويدعرهم لذ نه ب أصحاب ويدعرهم أسمائهم وأرقام هراتفهم),معجم المصطلحات الاعلامية
8,blueprint,ررق طبعة تجريبية,معجم المصطلحات الاعلامية
9,book trade ASH,صناعة,معجم المصطلحات الاعلامية
10,cl,اراي الع العام عل,معجم المصطلحات الاعلامية
11,bookseller and,كتبي ناشر,معجم المصطلحات الاعلامية
12,cartoon film,فلم متحركة رسوم,معجم المصطلحات الاعلامية
13,unité centrale,في مِلكيّة أو الصحف شخص شركة) من,معجم المصطلحات الاعلامية
14,distribution des réles,إسهام,معجم المصطلحات الاعلامية
15,dnema manager,مدير قاعة ل بحل مال,معجم المصطلحات الاعلامية
16,CAM,(لقطة تظهر شخصاأو أكثر من أعلى الركبتين إلى,معجم المصطلحات الاعلامية
17,CONN AEN iy SON VON Co IN,ا ا,معجم المصطلحات الاعلامية
18,TT,نج “بوه تجن الل كرد,معجم المصطلحات الاعلامية
19,advertising slogan,شعار شعار الإشهار» أعراف الإعلان أو تضبط العمل هذا وهي القواعد العرفية القانونية في,معجم المصطلحات الاعلامية
20,Se,صورة غائمة,معجم المصطلحات الاعلامية
21,camera‏,مصورة كاميرة)»,معجم المصطلحات الاعلامية
22,Ol pe,مثير,معجم المصطلحات الاعلامية
23,matraquage la radio; réclame faite,دا,معجم المصطلحات الاعلامية
24,publicité- travers programme-,هوائي,معجم المصطلحات الاعلامية
25,advertising,إشهارء إعلان,معجم المصطلحات الاعلامية
26,camera crew;‏,فريق التصوير,معجم المصطلحات الاعلامية
27,actual campaign a>,فغلية,معجم المصطلحات الاعلامية
28,advertising medium,وسملة إعلانية,معجم المصطلحات الاعلامية
29,EAN,ا ا ١,معجم المصطلحات الاعلامية
30,redacteur de la chronique du jour (US),مالي,معجم المصطلحات الاعلامية
31,NN RN aN oe aN Mee‏,لا حر حو ل ا,معجم المصطلحات الاعلامية
32,AS),مسجل بالصرت على شريط),معجم المصطلحات الاعلامية
33,os,مقدمة اله,معجم المصطلحات الاعلامية
34,cece PIN jal,من د وزاره ل وزار الإعلام أو هيئة حكومية أخرى),معجم المصطلحات الاعلامية
35,agreement,اتفاقية,معجم المصطلحات الاعلامية
36,assistant eat yf,مساعد مؤلف مساعد,معجم المصطلحات الاعلامية
37,biweekly lan en plongée,اسبوعية,معجم المصطلحات الاعلامية
38,Classification,تصديف,معجم المصطلحات الاعلامية
39,acid ry,تعليق,معجم المصطلحات الاعلامية
40,audience format,برامج,معجم المصطلحات الاعلامية
41,audimeter,مقياس المتابعة موصول بالتلفاز لدى المشاهدين جهاز يودع متابعتهم لبرامج التلفزة) الك,معجم المصطلحات الاعلامية
42,acoustics,يات صوتيات,معجم المصطلحات الاعلامية
43,acredited journalist,صحفي,معجم المصطلحات الاعلامية
44,BE eat we‏,م,معجم المصطلحات الاعلامية
45,acronym,"نحت أوائلي كلمة منحوتة الحروف الأولى لعدد الكلمات» ثحو من من كلمة ""ليزر"")",معجم المصطلحات الاعلامية
46,acting,الإذاعة أو النلفزة أو السيتما) مغامرات,معجم المصطلحات الاعلامية
47,action news;,أخبار عيانيّة (أخبار ينقلها شاهد عيان الحدث) من موقع,معجم المصطلحات الاعلامية
48,actor; leading role,ممثل (ال...)الأول» الأول,معجم المصطلحات الاعلامية
49,actor( actress) Jt,(م.,معجم المصطلحات الاعلامية
50,actual coverage,نفل الإذاعة أو التلفزة),معجم المصطلحات الاعلامية
51,actuality,نقل موقع الحُدث من,معجم المصطلحات الاعلامية
52,De‏,بج ا ري الس ام,معجم المصطلحات الاعلامية
53,ad; advertizement Ore!,إشهار,معجم المصطلحات الاعلامية
54,ad man,وكيل وكيل إشهار,معجم المصطلحات الاعلامية
55,ad section,إعلانات مبوبة,معجم المصطلحات الاعلامية
56,ad writer,إشهارات؛ محرر,معجم المصطلحات الاعلامية
57,adaptation,اقتباس,معجم المصطلحات الاعلامية
58,addendum,إضافة,معجم المصطلحات الاعلامية
59,additional,برنامج إضائي,معجم المصطلحات الاعلامية
60,address,"كلمة, خطاب",معجم المصطلحات الاعلامية
61,administration,إدارة,معجم المصطلحات الاعلامية
62,column advertisement,الاعلانات عمود,معجم المصطلحات الاعلامية
63,administrative,إبداع قاتوئ من من عد النسخ من كل,معجم المصطلحات الاعلامية
64,admission,مدخل اللجمهور,معجم المصطلحات الاعلامية
65,advance for Sunday,مخصّص لطبعة الأحد,معجم المصطلحات الاعلامية
66,advance story,ورقة أوليّة,معجم المصطلحات الاعلامية
67,advertisee,"هدف الإعلان, هدف الإشهار",معجم المصطلحات الاعلامية
68,advertisement,للنساءء إعلان إشهار,معجم المصطلحات الاعلامية
69,advertisement ale,إعلانية» مجلة إشهارية ا,معجم المصطلحات الاعلامية
70,advertisement Dey,رسالة,معجم المصطلحات الاعلامية
71,advertisement space,إعلانية م مساحة,معجم المصطلحات الاعلامية
72,advisor LAY,ر إشهاري؛ مستشار إعلاي,معجم المصطلحات الاعلامية
73,"advertisingagency we,",كالة رعالة إشهارية. اشهاريق و إعلانات عل,معجم المصطلحات الاعلامية
74,advertising agent,وكيل وكيل إشهاري؛ إعلانات,معجم المصطلحات الاعلامية
75,advertising appeal cas,إغراء إغراء,معجم المصطلحات الاعلامية
76,advertising approach,أسلوب أسلوب,معجم المصطلحات الاعلامية
77,advertising art,فنّ الإشهارء الإعلان,معجم المصطلحات الاعلامية
78,advertising banner,بارز (للفت الأنظار) ك5,معجم المصطلحات الاعلامية
79,advertising brand,"علامة علامة إشهارية, إعلانية",معجم المصطلحات الاعلامية
80,advertising campaign ax,"حملة إشهارية, إعلانية",معجم المصطلحات الاعلامية
81,advertising claim,زكم إشهاري» زعم,معجم المصطلحات الاعلامية
82,advertising content,"مضمون الإعلان, مضمون الإشهار",معجم المصطلحات الاعلامية
83,advertising copy,"نص الإعلان, نص الإشهار",معجم المصطلحات الاعلامية
84,advertising pb,تأثير الإشهارء الإعلان,معجم المصطلحات الاعلامية
85,advertising goal,غُرض غُرض الإعلان,معجم المصطلحات الاعلامية
86,advertising industry,صباعة الإعلان ها,معجم المصطلحات الاعلامية
87,advertising leaflet,نشرة إشهارية» نشرة إعلالية,معجم المصطلحات الاعلامية
88,advertising literature,وثائق إشهارية» وثائق إعلانية,معجم المصطلحات الاعلامية
89,advertising manager,مدير الإشهارء ش,معجم المصطلحات الاعلامية
90,advertising market,سوقه سوق الإعلان مطبوعات,معجم المصطلحات الاعلامية
91,advertising message,"رسالة إشهارية, إعلالية",معجم المصطلحات الاعلامية
92,advertising rates,أسعار أسعار الإشهار,معجم المصطلحات الاعلامية
