"English Sentence","Arabic Sentence"
"The student wrote the lesson.","كتب الطالبُ الدرسَ."
"The crisis became worse.","تفاقمت الأزمة."
"He went to the library to study.","ذهب إلى المكتبة ليدرس."
"He saved money in order to buy a car.","ادخر المال ليشتري سيارة."
"The player may win the cup.","وقد يفوز اللاعب بالكأس."
"The player has won the cup.","لقد فاز اللاعب بالكأس."
"The player won the cup yesterday.","فاز اللاعب بالكأس أمس."
"When I arrived at the cinema, the film had started.","عندما وصلتُ إلى السينما، كان الفيلم قد بدأ."
"The child was playing in the garden.","كان الطفل يلعب في الحديقة."
"He walked to school.","كان يذهب إلى المدرسة سيراً على الأقدام."
"She no longer works here.","لم تعد تعمل هنا."
"They are no longer friends.","لم يعودوا أصدقاء."
"If you study hard, you will succeed.","إن تجتهد تنجح."
"Youth are the hope of the nation.","إن الشباب هم أمل الأمة."
"He must study.","يجب أن يدرس."
"She can speak English.","يمكنها أن تتحدث الإنجليزية."
"It's necessary for us to study hard.","من الضروري أن نذاكر بجد."
"It's important for you to arrive on time.","من المهم أن تصل في الوقت."
"It's difficult for him to learn a new language.","من الصعب أن يتعلم لغة جديدة."
"What about camping?","ما رأيك في التخييم؟"
"He is good at studying.","هو جيد في الدراسة."
"Ahmed visited his friend in Algeria yesterday.","زار أحمد صديقه في الجزائر أمس."
"He goes to school every day.","يذهب إلى المدرسة كل يوم."
"The pen is for writing.","القلم للكتابة."
"The camera is for taking pictures.","الكاميرا لالتقاط الصور."
"I went to the bank to get some money.","ذهبت إلى البنك لسحب المال."
"Then I went to the supermarket to do my shopping.","ثم ذهبت إلى السوبرماركت لشراء حاجياتي."
"Every father is responsible for his family.","كل أب مسؤول عن أسرته."
"All the students attended.","كل الطلاب حضروا."
"This is Mariam's jacket.","هذا معطف مريم."
"The students' books.","كتب الطلاب."
"The children's toys.","ألعاب الأطفال."
"Environmental pollution.","تلوث البيئة."
"Human rights.","حقوق الإنسان."
"Community development.","تنمية المجتمع."
"We must be patient.","يجب أن نتحلى بالصبر."
"He is wise.","يتحلى بالحكمة."
"Reading.","القراءة."
"Writing.","الكتابة."
"Learning.","التعلم."
"Teaching.","التعليم."
"Swimming.","السباحة."
"The government encourages investors to build factories.","تشجع الحكومة المستثمرين على إنشاء المصانع."
"Provides job opportunities.","يقوم بتوفير فرص العمل."
"Develops the system.","يقوم بتطوير النظام."
"Following the rules of personal hygiene can prevent us from getting many diseases.","اتباع قواعد النظافة الشخصية يحمينا من كثير من الأمراض."
"Environmental pollution is a great danger to public health.","تلوث البيئة يمثل خطراً كبيراً على صحة السكان."
"The human rights issue receives great attention from various international organizations.","تلقى قضية حقوق الإنسان اهتماماً كبيراً من قبل المنظمات الدولية المختلفة."
"Would you like another cup of coffee?","هل ترغب في كوب آخر من القهوة؟"
"One student was reading, and another was writing.","كان أحد الطلاب يقرأ، بينما كان طالب آخر يكتب."
"My other sister is a doctor.","أختي الأخرى طبيبة."
"Do you have this shirt in other sizes?","هل لديك هذا القميص بمقاسات أخرى؟"
"Some students were absent, but others attended.","تغيب بعض الطلاب، بينما حضر الآخرون."
"Teaching requires patience.","يتطلب التعليم الصبر."
"Learning a foreign language takes time.","يتطلب تعلم لغة أجنبية وقتاً."
"The library contains various books.","تحتوي المكتبة على كتب متنوعة."
"They have different opinions.","لديهم آراء مختلفة."
"I look forward to meeting you.","أطلع إلى لقائك."
"Scientists have contributed to improving education.","ساهم العلماء في تحسين التعليم."
"She is used to working under pressure.","اعتادت العمل تحت الضغط."
"Three students attended the meeting.","حضر ثلاثة طلاب الاجتماع."
"Twenty-five students participated in the competition.","شارك خمسة وعشرون طالباً في المسابقة."
"Learning foreign languages has become necessary nowadays to get a job.","لقد أصبح تعلم اللغات الأجنبية ضرورياً هذه الأيام للحصول على وظيفة."
"Scientists' efforts over the years have contributed to human welfare.","إن جهود العلماء على مر السنين قد ساهمت في رفاهية الإنسان."
"Algeria.","الجزائر."
"Algiers.","الجزائر العاصمة."
"Egypt.","مصر."
"Beijing.","بكين."
"United Nations.","الأمم المتحدة."
"Help / Give a helping hand / Lend a helping hand.","مَدَّ يد العون."
