"English Sentence","Arabic Sentence"
"A Congress on contemporary music is being held in Florence, from March 30th to April 6th. You are cordially invited to attend.","أنتم مدعوون للمشاركة في المؤتمر الذي سيعقد في الفترة ما بين ٣٠ آذار (مارس) وحتى ٢٦ نيسان (أبريل) في مدينة فلورنسا حول الموسيقى المعاصرة."
"Professor Nadim has been assigned by a commission to make preparations for the Second International Congress on New (Modern) Techniques in Welding.","كلفت اللجنة الأستاذ نديم بالبدء بالتحضيرات اللازمة لانعقاد المؤتمر الدولي الثاني حول تقنيات اللحام."
"The aim of the International Congress of Cardiologists, in Rome is among other things to give participants, who number more than 800 and have come from over 50 countries, the opportunity to present the results of their most recent work, to exchange ideas and experience, to take part in discussions and, to prepare recommendations, and to establish contacts with foreign colleagues.","أحد أهداف المؤتمر الدولي لاختصاصيي أمراض القلب، والذي سيشارك به أكثر من ٨٠ طبيباً من أكثر من ٥٠ بلداً، هو إتاحة الفرصة لعرض أعمالهم العلمية، وتبادل الآراء والتجارب، ومن أجل تحضير التوصيات، وإقامة علاقات خاصة بين الزملاء من مختلف البلاد المشاركة."
"The Congress will be held in the Main Lecture Theatre of Free University.","سَيُعْقَدُ الْمُؤْتَمَرُ فِي الْقَاعَةِ الْكُبْرَى لِلْجَامِعَةِ الْحُرَّةِ."
"You are cordially invited to the international conference on ""Problems of Environmental Protection"", being held in Damascus, from October 20th to October 24th.","تَدْعُوكُمْ لِحُضُورِ الْمُؤْتَمَرِ الدُّؤَلِيِّ حَوْلَ مَوْضُوعِ ""حِمَايَةِ الْبَيْتَةِ"" الَّذِي سَيُقَامُ فِي الْفَتْرَةِ مَائِينَ ٢٠ إِلَى ٢٤ تَشْرِينَ أَوَّلَ (أَكْتُوبَرَ) فِي دِمَشْقَ."
"The conference has the character of a working session within the framework of international cooperation in the field of noise control.","سَيَكُونُ لِلْمُؤْتَمَرِ طَابِعُ التَّشَاوُرِ ضِمْنَ السَّعَاوَنِ الْعَالَمِيِّ فِي مَجَالِ ""الْحِمَايَةِ مِنَ الضَّحِيجِ وَالصَّحْبِ""."
"The conference is due to last for 2 weeks.","مَنِ الْمُتَوَقَّعُ أَنْ يَسْتَمِرَّ الْمُؤْتَمَرُ لِمُدَّةِ أَسْبُوعَيْنِ."
"There is an urgent need for an international conference to be held within the next few months to consider the present situation of the energy market and to discuss the possibilities for international co-operation.","مَنِ الضَّرُورِيُّ جِدًّا الدَّعْوَةَ لِعَقْدِ مُؤْتَمَرٍ عَالَمِيٍّ فِي الْأَشْهَرِ الْمُقْبِلَةِ مِنْ أَجْلِ دِرَاسَةِ الْوَضْعِ فِي سُوقِ الطَّاقَةِ، وَإِمَاكَانِيَّةِ التَّعَاوُنِ الدُّؤَلِيِّ فِي هَذَا الْمِضْمَارِ."
"Our next session will take place (be) in Damascus, from May 2nd to May 6th.","سَيَتِمُّ اجْتِمَاعُنَا الْمُقْبِلُ فِي الْفَتْرَةِ مَائِينَ ٢ إِلَى ٦ أَبْيَارَ (مَايُو) فِي دِمَشْقَ."
"The individual groups of specialists will hold committee meetings to prepare for the technical conference.","سَتَجْتَمِعُ الْفِرَقُ الْخَاصَّةُ مِنْ ذَوِي الِاخْتِصَاصِ لِلْبَدءِ بِالتَّحْضِيرِ لِلْمُؤْتَمَرِ التَّقْنِيِّ."
"At the same time, in Cairo there is a four days","بِسَفْسِ السُّوقَةِ تَعْقِدُ فِي الْقَاهِرَةِ حَلْقَةَ دِرَاسِيَّةٍ لِأَخْصَائِي"
"All scientific problems relevant to the central theme will be covered during the symposium.","في الحلقة الدراسية ستتم دراسة جميع المشاكل العلمية الخاصة بالموضوع الرئيسي."
"Each symposium begins with a special report.","الندوات تبدأ بعرض تقرير خاص."
"Abstracts of papers must be handed in at the symposium.","إن عرض ملخص التقارير يجب أن يقدم في مطلع كل ندوة."
"All scientific papers will be delivered during the scheduled symposia.","ستعرض جميع المقالات العلمية خلال الحلقة الدراسية المحددة."
"In the colloquia we shall be discussing the subject of ""Industrial Exhaust Gases"".","إننا نتناقش في الحلقات الدراسية موضوع ""الغازات الناتجة عن الصناعة""."
"Linguistic problems in technical language training and the issue of rationalization and implementation of an up-to-date system of language teaching in universities and technical colleges will be the focus of attention in three-day colloquium.","سيكون محور الحلقات الدراسية التي ستستمر لمدة ٣ أيام، المشاكل الأسنية للتعليم اللغوي ومسائل عقلانية وفعالية التعليم اللغوي الحديث في الجامعات والمدارس اللغوية المختصة."
"The Academy of Sciences is honoured to invite the International Union of Geologists to Beirut for their next General Assembly / Plenary Session.","لقد تشرّفت أكاديمية العلوم بتولي مهمة دعوة اتحاد الجيولوجيين لعقد جلستها المقبلة في بيروت."
"The General Assembly (Plenary Session) on the 15th of this month was convened by the Executive Committee.","لقد دعت الرئاسة للجلسة التي ستعقد بتاريخ ١٥ من هذا الشهر."
"All those listed in the supplement (appendix) are requested to participate in the General Assembly.","الرجاء من جميع الأشخاص المدونة أسماؤهم في الملحق الحضور للمشاركة باجتماع الجمعية العمومية."
"Well-known (prominent) figures in (from) public life will be taking part (will be participating) in the General Assembly / Plenary Session.","سيشترك في الجمعية العمومية بعض المشاهير من المجتمع."
"Participants in the General Assembly are divided into three categories: delegates, guests, and accompanying persons.","سيقسم المشتركون في الجمعية العمومية إلى ٣ أقسام: مندوبون، ضيوف، ومرافقون."
"At the beginning of the General Meeting/ General Assembly, further important information will be given about the organization of (on arrangements for) the conference.","في بداية الجلسة الرئيسية ستوزع معلومات هامة حول سير المؤتمر."
"The General Secretary will summarize the work completed in the General Assembly/ Plenary Session,","سيقدم الأمين العام خلال الجمعية العمومية ملخص النشاطات المنجزة وذلك بعد"
"The sessions are planned (scheduled) for the 20th, 21st, and 22nd September, each lasting from 9-30 a.m. to 12-00 noon.","حُدِّدت أيام ٢١، ٢٢ و ٢٣ من الساعة التاسعة والنصف صباحاً وحتى الساعة الثانية عشر لجلسات العمل."
"The opening and closing session will take place in the Auditorium of the University of Oman.","ستكون الجلسة الافتتاحية والجلسة الختامية في قاعة جامعة عُمان."
"A five days UNO seminar on opinions about and perspectives of space travel began yesterday in Madrid.","بدأت الأمم المتحدة ندوة دراسية تدوم خمسة أيام تدور حول الوضع الحالي والآفاق الجديدة لرحلات الفضاء."
"On Friday a further course for up-and-coming scientists on brain research at Oxford University came to an end. The course, in which 120 specialists from 42 countries took part, was concerned with the latest theoretical and practical discoveries in the field of brain research, especially with the chemical processes involved in translating information within the brain.","انتهت يوم الجمعة في معهد أبحاث الدماغ في جامعة أوكسفورد حلقة دراسية خاصة بالعلماء الواعدين الجدد، ولقد كان موضوع هذه الحلقة، التي ساهم فيها ١٢٠ اختصاصياً من أكثر من ٤٢ بلداً أحدث ما توصلت إليه الأبحاث النظرية والعملية فيما يخص ""أبحاث الدماغ"" وخصوصاً التفاعلات الكيميائية في عملية انتقال المعلومات داخل الدماغ."
"Have you been informed of the changes that have been made in the agenda?","هل أنت/أنت مُطْلِعٌ على تغيرات برنامج المؤتمر؟"
