"English Term","Arabic Term"
"((Model))","النموذج"
"(IMF) International Monetary Fund","صندوق النقد الدولي"
"(NATO)","حلف شمال الأطلنطي"
"(O A U) The Organization Of African Unity Organisation For Economic Co- Operstion And Development (OECD)","منظمة الوحدة الأفريقية"
"(OPEC) Organisation Of Petroleum Exporting Countries","أوبك"
"(UN) Economic And Social Council (ECOSOC)","المجلس الاقتصادي والاجتماعي التابع للأمم المتحدة"
"(USAID) United States Agency For International Development","وكالة التنمية الدولية الأمريكية"
"A Decision Not tO Decide","عدم اتخاذ قرار هو قرار"
"Abstract Rationalism","العقلانية المجردة"
"Acceptability","التقبل"
"Adaptation","التكيف"
"Adaptation","التوافق"
"Adverse Criticism","نقد مضاد"
"Advertotials","المقالات الإعلانية"
"Africaners","أفريكانرز / الأفريكانز"
"Africanization","الأفرقة"
"Afro-Americcains","أمريكيين الأفارقة"
"Aggression","العدوان"
"Aid","مساعدة"
"Alienation","الاغتراب"
"All Union Communist League Of Youth","رابطة الاتحاد العام للشباب الشيوعي) الكمسمول"
"All-Union","وزارات اتحادية"
"Allah Party","حزب االله"
"Allezla Filles","هلموا وتقدمن يافتيات"
"Alliance Israelite Universelle","الاتحاد اليهودي العالمي"
"Alliance Israelite Universelle","جمعية يانس العالمية"
"Amercan System","النظام الأمريكي"
"America","أمريكا"
"American Vista","موسوعة الأفق الأمريكية"
"Americanisation","الأمركة"
"Americanizm","الأمريكانية"
"Amnesty International","منظمة العفو الدولية"
"Anarchism","أنارشية)) سياسيا ً ("
"Anglican","إنجليكاني"
"Anglo-Sazon","أنجلو سكسونية"
"Anthropology","الأنثروبولوجي"
"Anti-Semitism","العداء للسامية"
"Antractica","أنتاركتيكا"
"Antractica","القارة الجنوبية القطبية / أنظر أنتاركتيكا"
"Anzus","الأنزوس"
"Anzus","حلف المحيط الهادي أنظر الأنزوس"
"Apartheid","الأبارتهيد"
"Apathy","اللامبالاة"
"Arab Solidarity","التضامن العربي"
"Arabe States League (League Of Arab Ststes )","جامعة الدول العربية"
"Arabite","العروبة"
"Arbiteration","التحكيم"
"Archipelagos","أرخبيل"
"Arena Of Politics","حلبة السياسة"
"Aristocratic","أرستقراطية"
"Armed Attack","هجوم مسلح"
"Article","مقال"
"Artificial Creations","تكوينات مصطنعة"
"Ascription","العزو"
"ASEAN","آسيان"
"ASEAN","مجمج موعة دول جنوب شرقي آسيا) آسيان ("
"Assassination","اغتيال"
"Assemblies","المجالس التشريعية"
"Assemblies","جمعيات تشريعية"
"Assiento","أشيانتو"
"Assimilado","المندمجين"
"Association Of Ideas","تداعي الأفكار"
"Associations","الروابط"
"Atimia","أتيميا"
"Atlantic Charter","ميثاق الأطلنطي"
"Authorised Sources","مصادر موثوق بها"
"Authoritarianism","التسلط"
"Authoritarianism","السلطوية"
"Authority","السلطة"
"Autocracy","أتوقراطية"
"Autonomy","الاستقلالية"
"Awereness","الوعي / الانتباه"
"Axis of Evil","محور الشر"
"Back-Bench MPS","المقاعد الخلفية"
"Balance Of Power","توازن القوى"
"Balance Of Power","ميزان القوة"
"Balance Of Terror","ميزان الرعب"
"Balkanisation","البلقنة"
"Bantus","البانتو"
"Bantustans","البانتوستانات"
"Bargaining","المساومة"
"Basilica","البازيليكا"
"Bay","خليج صغير"
"Behaviourism","السلوكية"
"Bellicose","عدواني"
"Bidonville","مدن الصفائح"
"Big Governement","الحكومة الكبرى"
"Bill Of Human Rights","إعلان حقوق الإنسان"
"Bipolar System","نظام الاستقطاب الثنائي"
"Bite","خور"
"Black Dragon Society","جمعية التنين الأسود"
"Black English","الإنجليزية السوداء"
"Bloces","ك ُتلك ُتل"
"Body Guard","الحرس الخاص"
"Boer","البوير"
"Bootlegger Movement","حركة إلتفاف"
"Boundaries","الحدود"
"Bourgeoisie","البرجوازية"
"Bourse","البورصة"
"Boxers","البوكسرز"
"Boxers Revolution","ثورة البوكسرز"
"Brain Drain","نزيف العقول"
"Brain Storming","القصف الذهني"
"Brain Washing / Strain Watching","غسيل المخ"
"Bredkdoun","العطل"
"Brest","صلح برست ليتوفسك / أنظر برست ليتوفسك"
"Brest","معاهدة برست ليتوفسك / أنظر برست ليتوفسك"
"Brest – Litovsk","برست ليتوفسك"
"Briand Kellog Pact","ميثاق بريان كيلوج)) ميثاق باريس ("
"Buffer-State","منطقة عازلة"
"Bundestag","البوندستاج"
"Bureaucracy","بيروقراطية"
"Bureaucratic Organization","المنظمة البيروقراطية"
"Business Organization","منظمة عمل"
"Camp Devid Agreement","اتفاقية كامب ديفيد"
"Candidates","المرشحون"
"Capitalism","الرأسمالية"
"Capitalism Is The Negation Of Culture","الرأسمالية هي نف ي للثقافة أصلا ً"
"Capitulations","امتيازات أجنبية"
"CAPTOLOGY","كابوتولوجي"
"Caste","تفرقة طبقية"
"Castes","طوائف"
"Catholicism","الكاثوليكية"
"Catholiticisim","الكثلكة"
"Cconference Of The Committee On Disarmament","مؤتمر لجنة نزع السلاح"
"Cease-Fire","وقف إطلاق النار"
"Cease-Hostilities","وقف الاشتباكات"
"Ceasrism","سيزاريزم"
"Censorship","الرقابة)) الإعلامية ("
"Centaure","الكائن الخرافي"
"Center","وسط"
"Center On Transnational Corporations","مركز الشركات متعددة الجنسية"
"Central America","أمريكا الوسطى"
"central Committee","اللجنة المركزية"
"Centrists","أهل الوسط"
"Certain Valued Ideals","ثل قيمية معينة م"
"Cession","تنازل"
"Challenge & Respon","التحدي والاستجابة"
"Chambers","كواليس"
"Charisma","كاريزما"
"Charismatic Authority","السلطة الكاريزمية)) الملهمة ("
"Charter","مواثيق أو اتفاقات"
"Check & Balances","الضوابط والموازين"
"Choice","اختيار"
"Christendom","مملكة المسيحية"
"Christian Commonwealth","مجموعة الأمم المسيحية"
"Chronological Age","العمر الزمني"
"Chronology / Historiography","التأريخ"
"Church Of England","الكنيسة الانجليزية"
"CIA /  / Central Intelligence Ageency","وكالة المخابرات المركزية الأمريكية"
"Circle Of Influence","مركز دائرة التأثير"
"Circular Process","العملية الدائرية"
"CIS / Commonwealth Of Independent","كومنولث الدول المستقلة"
"Citizenship","المواطنة"
"City Of God","مدينة االله"
"Civics","التربية الوطنية"
"Civil Disobedience","العصيان المدني"
"Civil Liberties","الحريات المدنية"
"Civil Society","المجتمع المدني"
"Civilization","الحضارة"
"Class Relationships","العلاقات الطبقية"
"Classical School","المدرسة التقليدية"
"Cleavage","النزاع"
"Coalition","ائتلاف"
"Coalition Opinion","الرأي الائتلافي"
"Coastol State Priority Zone","منطقة أسبقية للدولة الساحلية"
"Coca-Colarization","الكوكلة"
"Coding","الترميز"
"Coercion Theory","نظرية القهر"
"Coherence","التماسك"
"Cold War","الحرب الباردة"
"Collateral","موازية)) اجراءات ("
"Collective","الظواهر الجمعية"
"Collective","المستوى الجمعي"
"Collective Consciousness","شعور جمعي"
"Collective Goads","المصالح الجمعية"
"Collective Leadership","قيادة جماعية"
"Colonialism","استعمار"
"Comecon / Council Of Mutual Economic Assistance","الكالك وميكون"
"COMESA","الكوميسا))"
"Commissions","اللجان البرلمانية"
"Common Heritage Of Mankind","التراث المشترك للبشرية"
"Common Law","القانون العرفي"
"Common Masses","عامة الجماهير"
"Commonwealth","كومنولث"
"Commonwealth Of The United State","كومنولث الولايات المتحدة"
"Communication","الاتصال"
"Communication Barrier","عوائق الاتصال"
"Communication Channel","قناة الاتصال"
"Communication Gap","فجوة الاتصالات"
"Communication Networks","شبكات الاتصال"
"Communication Revolution","ثورة الاتصالات"
"Communication Satellite","الاتصال عبر الأقمار الصناعية"
"Communique","بيان أو بلاغ رسمي"
"Communism","شيوعية"
"Comparative Government","حكومات مقارنة"
"Complexity","التعقيد"
"Concept Of Statehood","فكرة الدولة"
"Concepts","مفاهيم"
"Concordant Democracy","الديمقر اطية الاتفاقية"
"Condominium","كوندومينيوم"
"Conferences","المؤتمرات"
"Conflict","الصراع"
"Confucianism","الكونفوشيوسية"
"Congress","الكونجرس"
"Conjunctural","الظواهر الارتباطية أو الاقترانية"
"Consensus","الإجماع العام"
"Consensus","الرضى"
"Conservatism","المحافظة"
"Conservative","الاتجاهات المحافظة"
"Consociational Democracy","الديمقراطية الطائفية"
"Consultation","الشورى"
"Consultation","تشاور"
"Consultative Committees","اللجان الاستشارية"
"Containment Policy","الاحتواء) سياسة ("
"Contemporary","المعاصرة"
"Contestation / Competition","التنافس"
"Context Of American Politics","بيئة السياسة الأ مريكية"
"Contiguous Zone","المنطقة المتاخمة"
"Continental Shelf","الامتداد القاري"
"Contractarian Democracy","الديمقراطية التعاقدية"
"Contraction","التقلص"
"Contradictions","التناقضات"
"Control & Accountability","الرقابة والمسئولية"
"Control & Examination","سلطة الرقابة وسلطة الامتحان"
"Convention","رف الع"
"Conventionalism","التقليدية"
"Conversational Engineering","هندسة الحوار"
"Conversion Function","الوظائف التحويلية للنظام"
"Conversion Process","التحويل"
"Cooperation","التعاون"
"Cooxistence","التعايش"
"Copyright","حق التأليف)) الملكية الفكرية والأدبية ("
"Core- States","دول المركز"
"Corporatism","التضامنية المركزية"
"Corporatist Type Relationship","العالع لاقات ذات الطابع الجماعي"
"Council Of Mutual Economic Assistance","مجلس المساعدة الاقتصادية المتبادلة"
"Coup d,etat","الإنقلاب"
"Creative","التفكير الخلاق"
"Credibility","المصداقية"
"Creole","خلاسي"
"Crisis","أزمة"
"Crisis-Management","إدارة الأزمات"
"Crowd","الحشد"
"Culpability","تأثيم"
"Cultural Uniformity","التماثل الثقافي"
"Culture","الثقافة"
"Cybernetics","السبرنطيقا) علم الضبط ("
"Cyborgenization","سبرجنة البشر"
"Cyclone / Hurricane / Tornado","إعصار"
"Cynicism","السخرية"
"Decay","انهيار"
"Decision – Making","صناعة القرار"
"Decision-Making Approach","منهج صنع القرار"
"Decisional Techologies","تكنولوجيا اتخاذ القرار"
"Decisional Unit","وحدة قرارية"
"Deference","إذعان"
"Demands","المطالب"
"Democracy","الديمقراطية"
"Demography","الديموغرافيا"
