ID,English,Arabic
1,A.M. : antemeridian,صباحا
2,A.M. station,محطة طويلة المدى
3,abbreviation,اختصار
4,abridged edition,طبعة مختصرة
5,abridgement,اجتزاء (القيود قانونية)
6,absolute sharpness,وضوح أقصى
7,abstract,خلاصة
8,abstract art,فن تجريدي
9,academy awards (oscars) (U.S.),أوسكار (ال...) - جوائز أكاديمية السينما في الولايات المتحدة الأمريكية
10,access channel,قناة للعموم
11,access time,وقت الدخول - هي فترة زمنية تخصّص للدخول بنك معطيات أو حاسوب
12,access to sources of information,وصول (الـ...) إلى مصادر المعلومات
13,accessories,لوازم - قطع حزمية تستعمل لتبديل القطع المعطوبة في جهاز أو آلة
14,account,تقرير - بيان يروي الأخبار ويصف الوقائع
15,accuracy,دقة
16,achromatic,لاوي
17,acid commentary,تعليق لاذع
18,acoustical isolation,عزل صوتي
19,acoustics,صوتيات
20,acredited journalist,صحفي معتمد
21,acronym,نحت أوائل - كلمة منحوتة من الحروف الأولى لعدد من الكلمات، نحو كلمة 'ليزر'
22,acting,تمثيل - في المسرح أو الإذاعة أو التلفزة أو السينما
23,action; adventure (film),فيلم مغامرات
24,action news; eyewitness news,أخبار عيانية - أخبار ينقلها شاهد عيان من موقع الحدث
25,actor; leading role,ممثل (ال...) الأول - دور (ال...) الأول
26,actor (actress),ممثل - (م. ممثلة)
27,actual campaign,حملة فعلية
28,actual coverage,نقل فعلي - في الإذاعة أو التلفزة
29,actual size,حجم طبيعي
30,actuality,نقل من موقع الحدث
31,ad; advertizement,إعلان، إشهار
32,ad man,وكيل إعلان، وكيل إشهار - إشهار
33,ad section,إعلانات مبوّبة
34,ad writer,محرر إشهارات، محرر إعلانات
35,adaptation,اقتباس
36,addendum,إضافة
37,additional programme,برنامج إضافي
38,address,كلمة، خطاب
39,adjusting,ضبط
40,administration,إدارة
41,administrative deposit,إيداع قانوني - إيداع عدد من النسخ من كل إصدار دوري لدى وزارة الإعلام أو هيئة حكومية أخرى
42,admission,مدخل الجمهور
43,admission fee,رسوم الدخول
44,advance for Sunday,مخصّص لطبعة الأحد
45,advance story,ورقة أولية
46,advertisee,هدف الإعلان، هدف الإشهار
47,advertisement beamed at wives,إشهار للنساء، إعلان للنساء
48,advertisement column,عمود الإعلانات
49,advertisement magazine,مجلة إعلانية، مجلة إشهارية
50,advertisement message,رسالة الإعلان
51,advertisement page,صفحة الإعلانات
52,advertisement space,مساحة إعلانية
53,advertiser,مُعلن
54,advertising,إشهار، إعلان
55,advertising advisor,مستشار إشهاري، مستشار إعلاني
56,advertising agency,وكالة إشهارية، وكالة إعلانات
57,advertising agent,وكيل إشهاري، وكيل إعلانات
58,advertising appeal,إغراء إشهاري، إغراء إعلاني
59,advertising approach,أسلوب إشهاري، أسلوب إعلاني
60,advertising art,فن الإشهار، فن الإعلان
61,advertising banner,عنوان بارز
62,advertising brand,علامة إشهارية، علامة إعلانية
63,advertising campaign,حملة إشهارية، حملة إعلانية
64,advertising claim,زعم إشهاري، زعم إعلاني
65,advertising content,مضمون الإعلان، مضمون الإشهار
66,advertising copy,نص الإعلان، نص الإشهار
67,advertizing effectiveness,تأثير الإشهار، تأثير الإعلان
68,advertising ethics,آداب الإشهار، آداب الإعلان
69,advertising film,فيلم إشهاري، فيلم إعلاني
70,advertising goal,غرض الإشهار، غرض الإعلان
71,advertising industry,صناعة الإشهار، صناعة الإعلان
72,advertising leaflet,نشرة إشهارية، نشرة إعلانية
73,advertising literature,وثائق إشهارية، وثائق إعلانية
74,advertising manager,مدير الإشهار، مدير الإعلان
75,advertising market,سوق الإشهار، سوق الإعلان
76,advertising matter,مطبوعات إشهارية، مطبوعات إعلانية
77,advertising medium,وسيلة إعلانية
78,advertising message,رسالة إشهارية، رسالة إعلانية
79,advertising opportunity,فرصة إشهارية، فرصة إعلانية
80,advertising rates,أسعار الإعلان، أسعار الإشهار
81,advertising regulation,أنظمة الإشهار، أنظمة الإعلان
82,advertising schedule,جدول الإعلانات
83,advertising slogan,شعار إشهاري، شعار إعلاني
84,advertising standards,أعراف الإشهار، أعراف الإعلان
85,advertising support,مساندة إعلانية
86,advertising time,فاصل إعلاني، فاصل إشهاري
87,advertising trade journal,صحيفة إعلانية، مهنة
88,advertorial,مقال إعلاني، مقال إشهاري - في الصحافة المكتوبة
89,advocacy advertising,إعلان قضية - مساحة إعلانية يشتريها المعلن للدفاع عن قضية أو للتعريف بموقف
90,aerial; antenna,هوائي
91,aerial advertising,إشهار جوي، إعلان جوي
92,aerial camera,كاميرا جوية
93,aerial image; aerial photograph,صورة جوية
94,aerial shooting; aerial photography,تصوير جوي
95,agency,وكالة
96,aggressive copy,نص مثير
97,aggressive reporting,استطلاع مثير
98,agony column,ركن الاجتماعيات - ركن ينشر إعلانات مبوّبة عن للخطيبين والمقترنات والمناسبات الاجتماعية
99,agreement,اتفاقية
100,ahead of schedule,مبكر
101,air date,تاريخ البث
102,air plug,مطرقة - إعلان يُبث في الإذاعة على فترات متقاربة
103,airtime; broadcast time,مدة البث، مدة الظهور - على الشاشة
104,airwaves,موجات البث
105,all rights reserved,جميع الحقوق محفوظة
106,all-day-newspaper,يومية متعددة الطبعات
107,all-star-cast,فيلم النجوم - فيلم يشارك فيه عدد كبير من نجوم السينما
108,alphabetical order,ترتيب ألفبائي
109,alteration,تعديل
110,alternative media,وسيلة إعلامية بديلة
111,alternative press; underground media,صحافة لا نظامية
112,alternative television,تلفزة بديلة
113,amateur film-maker,سينمائي هاوٍ
114,amateur photographer,مصوّر هاوٍ
115,amendement,تعديل
116,amplifier,مكبّر
117,amplitude modulation (AM),تعديل الموجة
118,analog,متناظر
119,analysis,تحليل
120,anchorperson (TV),مقدّم - المذيع الرئيسي الذي يقدّم نشرة الأخبار التلفازية
121,angle,زاوية
122,angle shot,لقطة زاوية
123,animated cartoon; animated film,رسوم متحركة
124,animation,إعداد - الرسوم المتحركة
125,annals,حوليات
126,annotation,تحشية
127,announcement,إعلان
128,announcer,مُعلّن
