"English Term","Arabic Term","Category"
"Transliteration (Nqhara)","النقحرة / التعريب الصوتي (نقل النطق بحروف عربية، مثل: Technology → تكنولوجيا)","translation_concepts"
"To burn the midnight oil","يسهر الليالي في العمل / يجهد نفسه بالعمل ليلاً (وليس: حرق زيت منتصف الليل)","idioms_extended"
"Beat around the bush","يدور ويُلف / يراوغ في الكلام (وليس: يضرب حول الشجيرة)","idioms_extended"
"Honesty is the best policy","الأمانة هي أفضل خصلة / الصدق خير مسلك","example_patterns"
"The government is/are taking new measures","تتخذ الحكومة إجراءات جديدة (الحكومة كمفرد مؤنث في العربية)","example_patterns"
"The staff were divided in their opinions","انقسم أعضاء الكادر / الموظفون في آرائهم","example_patterns"
"Freedom of speech must be preserved","يجب صون حرية التعبير / الكلام","example_patterns"
"The United Nations Security Council","مجلس الأمن التابع للأمم المتحدة (ترجمة المعنى المعتمد)","example_patterns"
"Shakespeare","شيكسبير / شكسبير (نقحرة)","example_patterns"
"The Pacific Ocean","المحيط الهادئ (ترجمة الصفة الجغرافية)","example_patterns"
"New York","نيو يورك / نيويورك (نقحرة)","example_patterns"
"Lorry (British) / Truck (American)","شاحنة","british_american"
"Autumn (British) / Fall (American)","فصل الخريف","british_american"
"Colour / Honour (British spelling)","لون / شرف (هجاء)","british_american"
"Centre / Theatre (British spelling)","مركز / مسرح (هجاء)","british_american"
"Tokenizer & POS Tagger","وحدة التجزئة والتحليل اللغوي (التعرف على أجزاء الكلام: أعلام، مجردات، أفعال، صفات)","software_components"
"TM & Glossary Lookup Module","قاموس المطابقة التلقائية (البحث عن المصطلحات والملازمات اللفظية قبل الترجمة الحرفية)","software_components"
"Idiom Engine","محرك معالجة التعبيرات الاصطلاحية (كشف العبارات المركبة ككتلة واحدة)","software_components"
"Grammar & Syntactic Re-ordering Engine","محول القواعد الهيكلي (SVO → فعل + فاعل + مفعول أو جملة اسمية)","software_components"
"Post-Editing / Spell-Checker","مدقق السلاسة والتدقيق الإملائي والنحوي (التذكير والتأنيث والترقيم والضمائر)","software_components"
