english,arabic
10th,العاشر
1st,الأول
2nd,الثاني
3rd,الثالث
4th,الرابع
5th,الخامس
6th,السادس
7th,السابع
8th,الثامن
9th,التاسع
A,آي - الحرف الأول في اللغة الإنجليزية
A&amp;M,زراعيّ و ميكانيكيّ
A&amp;P,شركة الشّاي الباسيفيكيّة و الأطلنطيّة العظيمة
A-,حرف يسبق الكلمة ويعني في إتجاه كذا وكذا، او الإستمرارية
A-bomb,القنبلة النووية :: القنبلة الذرية
A-good,بحماس :: جيّدًا
A-ha,آها - فرقة بوب نرويجيّة
A-law,المقياس المستخدم في التحويل بين الإشارات السينية الى الرقمية
A-line,اصطفّ، فستان ضيّق من الأعلى وواسع من الأسفل
A-ok,ممتاز
A-one,ممتاز :: من الدرجة الأولى
A1,ممتاز :: من الدرجة الأولى
AAA,التوثيق والتفويض والمحاسبة
AAAS,الرابطة الأمريكية لتقدّم العلم
AAU,اتّحاد هواة الرّياضة
ABA,رابطة المصرفيين الأمريكية
AC,مكيّف هواء :: تيّار متردد
ACLU,اتحاد الحريات المدنية الأمريكيّ
ACM,مادّة تحتوي على أسبستوس
ACS,الجمعيّة العربيّة للكمبيوتر
AI,الذكاء الصناعيّ
AK,ولاية آلاسكا الأمريكية
AL,ولاية ألاباما الأمريكية
ALU,وحدة المنطق الحسابيّة
AMA,الجمعية الطبية الأمريكية
ANSI,المؤسسة الأمريكية الوطنية للمقاييس
APS,نظام الصّورة المتقدّم
AR,ولاية أركانسو الأمريكية
ARCO,شركه أركو للوقود
ARPA,وكالة مشاريع البحوث المتقدمة
ASAP,في اسرع وقت ممكن
ASTM,الجمعية الأمريكية لفحص المواد
AT&amp;T,شركه اي تي تي الأمريكية للإتصالات
ATTN,الانتباه
AZ,ولاية أريزونا الأمريكية
Aa,درجة الأستاذ المساعد في الفنون
Aadl,قاعدة لبناء أجهزة الكمبيوتر
Aal,آل - شجيرة من الهند
Aam,مقياس السوائل في هولندا وألمانيا
Aap,جمعيّة النّاشرين الأمريكيّين
Aard,الأرض
Aard-vark,حيوان ثديي أفريقي ليلي
Aard-wolf,حيوان ثديي أفريقي كما الذئب
Aardvark,خنزير الأرض
Aardvarks,خنازير الأرض
Aardwolf,ضبع مخطط يقتات على الحشرات
Aarhus,مدينة وميناء آرهس
Aaron,هارون
Aaronic,متعلق بالقساوسة
Aaronical,متعلق بالقساوسة
Aarons,آرونز
Aaronsburg,آرونسبرج
Aarp,الجمعية الأمريكية للمتقاعدين
Aas,مساعد في العلوم التّطبيقيّة
Aasu,آسو
Ab,فصيلة الدّم ا ب
Ab-,بعيدا عن
Abac,أباك
Abaca,شجرة الموز الفلبينية
Abaci,العدّادات :: الآلات الحاسبة
Abacinate,يسبب العمى :: يعمي العين
Aback,إلى الخلف :: إلى الوراء
Abacterial,لا يحتوي على البكتيريا :: لم يتأثّر بالبكتيريا
Abacus,العدّاد
Abacuses,العدّادات
Abada,أنثى الخرتيت
Abaddon,ملاك الجحيم
Abaft,في مؤخّرة السفينة
Abaisance,الإنحناء تعبيراً عن الإحترام
Abaist,منزعج :: منحرج
Abalone,أذن البحر - حيوان بحري
Abalones,آذان البحر - حيوانات بحرية
Abamp,وحدة تيار تساوي عشرة أمبير
Abampere,وحدة تيار تساوي عشرة أمبير
Aband,يهجر :: يترك
Abandon,يترك :: يتخلّى عن :: يتنازل عن
Abandoned,مهجور :: متروك :: متخلى عنه :: سائب
Abandonedly,بلا حدود
Abandoner,المتخلّي :: التّارك
Abandoning,التّرك، :: الهجر :: التنازل
Abandonment,التّرك :: التخلي عن :: التنازل عن
Abandons,يترك :: يهجر :: يتنازل عن
Abarim,سلسلة جبال في شرق الأردن
Abase,يحقّر :: يهين :: يذل
Abased,أهان :: حقّر
Abasement,التقليل من الشأن :: التحقير :: الإهانة
Abaser,موجّه الإهانات :: المهين
Abases,يهين :: يحقّر :: يذل
Abash,احرج :: أخجل :: أربك
Abashed,أحرج :: أربك :: مرتبك
Abashedly,بشكل مخزي :: بشكل محرج
Abashes,يحرج :: يربك
Abashing,الإحراج :: الإرباك
Abashment,الخجل :: الحرج
Abasic,متعلق بانتفاء القدرة على المشي
Abasing,الإهانة
Abatable,قابل للإلغاء
Abate,خفّف :: أخمد :: يلغي :: يبطل :: همد
Abated,خفّ :: أبطل :: أخمد
Abatement,السّكون :: التخفيض :: التقليل :: انقضاء (سقوط الحق)
Abater,المخفّض :: المقلّل
Abates,يخفّف :: يقلل
Abating,التقليل :: التّخفيض
Abatis,خط الدفاع المتكوّن من الأشجار والأشياء الحادّة لردع العدو
Abator,مستغل الأرض بعد وفاة مالكها
Abattis,خط الدفاع المتكوّن من الأشجار والأشياء الحادّة لردع العدو
Abattoir,المذبح :: المسلخ
Abattoirs,المذابح :: المسالخ
Abature,الأعشاب و الأعواد التي تداس بالحيوانات عند مرورها عليها
Abaxial,بعيد عن المحور
Abaxile,بعيد عن المحور
Abay,نباح الكلاب
Abb,البنك المتّحد للأعمال
Abba,الله في النسخة الحديثة للإنجيل :: فرقة آبا السويدية
Abbacies,رئاسات الدّير
Abbas,عباس
Abbatial,متعلق بالدير ودور العبادة
Abbatical,مختص بالدير ودور العبادة
Abbe,رئيس الدّير
Abbess,الرّاهبة الرّئيسة
Abbeville,مدينة أبيفيل
Abbey,الدّير :: الكنيسة
Abbeys,الأديرة :: الكنائس
Abbot,رئيس الدّير
Abbots,رؤساء الدّير
Abbott,أبوت
Abbrev,إختصار لكلمة إختصار
Abbreviate,اختصر :: اختزل :: يختصر
Abbreviated,مختصر :: مختزل
Abbreviates,يختصر :: يختزل
Abbreviating,الاختصار :: الإختزال
Abbreviation,الاختصار :: الإختزال
Abbreviations,الاختصارات :: الإختزالات
Abbreviator,المُخْتصر :: المُخْتزل
Abbreviatory,إختصاري
Abbreviature,الصورة المختصرة :: الموجز
Abbyville,مدينة أبيفيل
Abc,الألفباء
Abcs,الحالات الإبتدائية لأي مرحلة
Abdal,متديّن أو درويش في إيران
Abderian,الأحمق
Abderite,مواطن من أبديرا
Abdi,عبدي :: خادمي
Abdicable,قابل للتّنازل عن
Abdicate,يتخلى :: يتنازل :: تنحّ
Abdicated,تنحّى :: تنازل :: تخلّى عن
Abdicates,يتنحّى :: يتنازل :: يتخلّى عن
Abdicating,التّنحّي :: التّخلّي :: التّنازل
Abdication,التّنازل :: التّخلي
Abdicator,المُتنازل :: المُتنحّي
Abdiel,عبدالله او عبد للخالق
Abditive,امتلاك قدرة الاختباء
Abditory,مكان جيد لتخبئة الأشياء
Abdomen,البطن :: الجوف
Abdomens,البطون
Abdominal,بطني :: جوفي
Abdominally,بطنياً :: جوفيّاً
Abdominous,ذو كرش كبير :: بدين :: بطين
Abduce,يُبعد :: ينحي :: نحّى
Abduced,أبْعَد :: نحّى
Abducens,العضلة المحرّكة للعين
Abducent,مُبْعد
Abducing,الإبعاد
Abduct,اخطف :: يبعد عن :: يخطف
Abducted,خطف :: أبعد عن
Abducting,الخطف
Abduction,الاختطاف :: إبعاد عن
Abductions,عمليّات الاختطاف
Abductor,المختطف :: المُبْعِد عن
Abductors,المختطفون
Abducts,يخطف :: يُبْعِد عن
Abe,أب
Abeam,نحو جانب السّفينة
Abear,يتحمّل :: يتصرّف
Abearance,التّصرّف
