Source_EN,Target_AR,Category
Including but not limited to,على سبيل المثال لا الحصر,عام - General
Including without limitation,على سبيل المثال لا الحصر,عام - General
Notwithstanding what was stipulated in,بغض النظر عما ورد في,عام - General
Without prejudice to,مع عدم الإخلال بـ,عام - General
Subject to (the rules of law),مع مراعاة أحكام القانون,عام - General
"I, the undersigned",أنا الموقع أدناه,عام - General
Baseless and foundless,لا أساس له من الصحة,عام - General
And vice versa,والعكس صحيح,عام - General
Except where the context otherwise requires,ما لم يقتض السياق غير ذلك,عام - General
So far as is practicable,بقدر ما يكون ذلك ممكناً,عام - General
Unless otherwise provided for,ما لم يرد فيه نص خلافاً لذلك,عام - General
Aforesaid / above said / aforementioned,السابق ذكرها / سابقة الذكر / المذكور آنفاً,عام - General
Whatsoever,مهما كان,عام - General
Whosoever,أياً كان,عام - General
Hereby,بموجب / بموجبه,عام - General
Hereafter,فيما بعد / لاحقاً,عام - General
Thereforth,من الآن فصاعداً,عام - General
Hereinafter,المذكور,عام - General
Thereupon,وعليه / وبناءً عليه,عام - General
Thereby,وبذلك,عام - General
Force majeure,القوة القاهرة,عام - General
De facto,فعلياً / في الواقع,عام - General
De jure,بحكم النظام / بحكم القانون / قانونياً / نظامياً / شرعياً,عام - General
Bona fide,بحسن نية,عام - General
Mala fides,بسوء نية,عام - General
Annex / appendix / addendum / rider,ملحق,عام - General
Provided that,بشرط أن / شريطة أن / على أن,عام - General
Unless otherwise agreed upon,ما لم يتفق على غير ذلك,عام - General
As the case may be,بحسب الأحوال,عام - General
Whereas,بما أن,عام - General
As may be necessary,حسب الضرورة,عام - General
As may be provided in,حسبما ينص على ذلك في,عام - General
As such,من هذا القبيل,عام - General
Article,مادة,عام - General
Clause / paragraph,فقرة,عام - General
Criminal record,سجل جنائي,عام - General
Deed,صك,عام - General
Patent,براءة اختراع,عام - General
Petition,التماس,عام - General
Affidavit,إفادة,عام - General
Waiver,تنازل / إعفاء,عام - General
May,يجوز,عام - General
May not,لا يجوز,عام - General
Shall,يتعين على / على / ينبغي على,عام - General
Subject to the penalty of the law,تحت طائلة المسؤولية,عام - General
In witness whereof,إشهاداً لما تقدم / إثباتاً لما تقدم,عام - General
Competent entity / Competent authority,الجهة المختصة,عام - General
Breaking and entering,السطو على الممتلكات,عام - General
Terms and conditions,الشروط والأحكام,عام - General
By and between,بين / بين كل من,عام - General
True and correct,صحيح,عام - General
Goods and chattels,المنقولات,عام - General
In good condition and repair,بحالة جيدة,عام - General
Deem and consider,يعتبر / يعد,عام - General
Keep and maintain,يحافظ على,عام - General
Made and signed,حرر,عام - General
Null and void,لاغ وباطل,عام - General
Fraud and deceit,غش وخداع,عام - General
Save and except,فيما عدا وباستثناء,عام - General
Unless and until,ما لم وإلى أن,عام - General
Acknowledge and confess,يقر ويعترف,عام - General
Act and deed,عمل وفعل,عام - General
Each and every,كل / كل من,عام - General
Free and clear of,خالي من,عام - General
Title,العنوان,العقود والوكالات - Contracts
Parties,الأطراف,العقود والوكالات - Contracts
Legal capacity of contracting parties,أهلية المتعاقدين,العقود والوكالات - Contracts
Preamble,مقدمة أو تمهيد,العقود والوكالات - Contracts
Mutual obligations,الالتزامات المتبادلة,العقود والوكالات - Contracts
Payment and method of payment,الثمن وآلية السداد,العقود والوكالات - Contracts
Duration of contract,مدة سريان العقد,العقود والوكالات - Contracts
General provisions,الأحكام العامة,العقود والوكالات - Contracts
Law and Court of jurisdiction regarding disputes,القانون والمحكمة المختصة في النظر في النزاعات,العقود والوكالات - Contracts
Final provisions,الأحكام الختامية,العقود والوكالات - Contracts
Date of signing,تاريخ التوقيع,العقود والوكالات - Contracts
Number of articles and copies,عدد البنود والنسخ,العقود والوكالات - Contracts
Signature,التوقيع,العقود والوكالات - Contracts
Employment contract,عقد توظيف,العقود والوكالات - Contracts
Rental agreement / Lease,عقد إيجار,العقود والوكالات - Contracts
Sales contract,عقد بيع,العقود والوكالات - Contracts
Maintenance contract,عقد صيانة,العقود والوكالات - Contracts
Service contract,عقد خدمات,العقود والوكالات - Contracts
Intellectual property contract,عقد ملكية فكرية,العقود والوكالات - Contracts
Power of Attorney,وكالة قانونية / توكيل,العقود والوكالات - Contracts
General Power of Attorney,وكالة قانونية عامة,العقود والوكالات - Contracts
Specific Power of Attorney,وكالة قانونية خاصة,العقود والوكالات - Contracts
Durable Power of Attorney,وكالة قانونية مستمرة,العقود والوكالات - Contracts
Place of residence / address,محل الإقامة / العنوان,العقود والوكالات - Contracts
"First, Second party",الطرف الأول / الثاني,العقود والوكالات - Contracts
Shall be in writing,كتابة / كتابياً / كتابية,العقود والوكالات - Contracts
Duplicate copies,نسخ طبق الأصل,العقود والوكالات - Contracts
Witness,شاهد,العقود والوكالات - Contracts
Arbitration,تحكيم,العقود والوكالات - Contracts
Notarization,توثيق / مصادقة,العقود والوكالات - Contracts
Notary Public,كاتب عدل,العقود والوكالات - Contracts
An integral part,جزء لا يتجزأ,العقود والوكالات - Contracts
Nationality,الجنسية,العقود والوكالات - Contracts
National ID,الهوية الوطنية,العقود والوكالات - Contracts
Iqama,إقامة,العقود والوكالات - Contracts
Passport,جواز السفر,العقود والوكالات - Contracts
Employment duration,مدة التعاقد,العقود والوكالات - Contracts
Salary,المرتب / الراتب,العقود والوكالات - Contracts
Maintenance,صيانة,العقود والوكالات - Contracts
Financial obligations,الالتزامات المالية,العقود والوكالات - Contracts
Termination,إنهاء,العقود والوكالات - Contracts
Execution,تنفيذ,العقود والوكالات - Contracts
Expiration,انتهاء,العقود والوكالات - Contracts
Revoke / terminate,يفسخ / يلغي,العقود والوكالات - Contracts
Validity,سريان,العقود والوكالات - Contracts
Lessor,مؤجر,العقود والوكالات - Contracts
Lessee / tenant,مستأجر,العقود والوكالات - Contracts
Landlord,صاحب العقار / المشرف على العقار,العقود والوكالات - Contracts
Owner,المالك,العقود والوكالات - Contracts
Employee,موظف,العقود والوكالات - Contracts
Employer,صاحب العمل,العقود والوكالات - Contracts
Premises,العقار,العقود والوكالات - Contracts
Property,العقار / الممتلكات,العقود والوكالات - Contracts
Violate,يخالف / يخل بـ,العقود والوكالات - Contracts
Breach,يخالف / يخل بـ,العقود والوكالات - Contracts
Deposit,مبلغ التأمين,العقود والوكالات - Contracts
Indemnity,تعويض,العقود والوكالات - Contracts
