"English Sentence","Arabic Sentence"
"He is a man.","هو رجل."
"They are playing football.","هم يلعبون كرة قدم."
"If you study well, you will succeed.","إذا تدرس جيد، أنت ستنجح."
"The Pacific ocean has a larger surface than all the dry land on earth.","المحيط الهادي عنده سطح أكبر من كل الأرض الجافة على الأرض."
"His friendship with the accused involved him in the scandal.","ورطته صداقته بالمتهم في الفضيحة."
"The clouds involved the hills.","اكتنف الغمام التلال."
"The matter involves my honour.","تتعلق المسألة بشرفي."
"The job offered involves my living in Alexandria.","تتطلب الوظيفة المعروضة على أن أعيش في الإسكندرية."
"The teacher involved the whole class in the research.","أشرك المعلم كل طلبة الفصل في البحث."
"The project involved me in unnecessary expense.","كلفني المشروع نفقات لا ضرورة لها."
"The player hit the ball.","ضرب اللاعب الكرة."
"The man beat the boy.","ضرب الرجل الولد."
"He set an example.","ضرب مثلاً."
"He fired the gun.","ضرب المدفع."
"He travelled through the land.","ضرب في الأرض."
"He schemed and plotted.","ضرب أخماساً في أسداس."
"He shared in the matter.","ضرب في الأمر بسهم."
"Sleep overtook him.","ضرب النوم على أذنيه."
"He minted dirhams and dinars.","ضرب الدراهم والدنانير."
"He made him an appointment.","ضرب له موعداً."
"He erected his tent in the desert.","ضرب خيمته في الصحراء."
"Strip down to your vest and pants.","اخلع ملابسك الخارجية وابقَ بالفانيلة واللباس الداخلي. (بريطاني) — بالصديري والبنطلون (أمريكي)"
"My name is Thatcher, and I'm going to thatch the economy of this country.","اسمي ثاتشر (أي الشخص الذي يغطي أو يُصلح سقف البيت بالقش)، وسوف أصلح (سقف) اقتصاد هذا البلد."
"to weather the storm","يتحمل العاصفة"
"a sawed off gun","بندقية تم نشر (تقصير) ماسورتها"
"pull one's finger out","ينسحب من العمل"
"he ate an ear of corn","أكل كوزاً من الذرة"
