"English Term","Arabic Term"
"(UNEF)","منظمة الأمم المتحدة United Nations Organization"
"(UNO)","قوّات الأمم المتحدة للإغاثة United Nations Relief Forces"
"(UNRF)","نشر"
"(UNRF)","قوّات الأمم المتحدة للطوارئ United Nations Emergency"
"A","نشر"
"Abortive coup d'état","انقلاب فاشل"
"Abortive military attack","هجوم عسكري فاشل"
"Absence of credibility","انعدام المصداقية"
"Absence of diplomatic consideration","عدم التبصّر في الدبلوماسية"
"Absolute majority","أغلبية مُطلقة"
"Absolutism","استب"
"Absolutism","استبدادية"
"Abstain (to) from voting","يمتنع عن التصويت"
"Abuse of force","إساءة استخدام القوة"
"Abuse of politic influence","استغلال النفوذ السياسي"
"Abuse of power","إساءة استعمال السلطة"
"Abuse victims","ضحايا إساءة المعاملة"
"Accession to an alliance","انضمام إلى تحالف"
"Acclimatize (to) with the political situation","يتأقلم مع الوضع السياسي"
"Accomplish (to) diplomatic mission","يؤدي المهمة الدبلوماسية"
"According to diplomatic customs","بموجب الأعراف الدبلوماسية"
"According to diplomatic","بموجب الأعراف الدبلوماسية"
"Accredit (to) the convention","يعتمد الاتفاق"
"Accredited ambassador","سفير مُعتمد"
"Accredited journalist","صحفي مُعتمد"
"Accredited state","دولة مُعتمدة - مفوضة"
"Accredited state","دولة مُعتمدة - مفوّضة"
"Achieve (to) diplomatic mission","يُنجز المهمة الدبلوماسية"
"Achieve (to) diplomatic","يُنجز المهمة الدبلوماسية"
"Achieve (to) political goals","يُحقق الأهداف السياسية"
"Achieve (to) political goals","يُحقّق الأهداف السياسية"
"Acquired nationality","جنسية مُكتسبة"
"Acquired nationality","جنسيّة مُكتسبة"
"Acquired rights","حقوق مُكتسبة"
"Acquisition of political knowledge","اكتساب المعرفة السياسية"
"Act (to) according laws","يتصرف بموجب القوانين"
"Act (to) according to appearances","يحكم بالاستناد إلى المظاهر"
"Act (to) in official capacity","يتصرف بصفة رسمية"
"Act of courtesy","تصرف مجاملة"
"Acting governor","نائب الحاكم"
"Acting minister","وزير بالوكالة"
"Adduce (to) an argument","يُدلي بحجة"
"Adduce (to) an argument","يُدْلِي بِحِجَّةٍ"
"Adherence to the agenda","الالتزام بجدول الأعمال"
"Adjourn (to) diplomatic debates","يُؤجّل المناقشات الدبلوماسية"
"Adjourn (to) diplomatic debates","يُؤجَّل المناقشات الدبلوماسية"
"Adjust (to) diplomatic attitude","يُسَوّي الموقف الدبلوماسي"
"Adjust (to) diplomatic attitude","يُسَوِّي الموقف الدبلوماسي"
"Adopt (to) a motion","يتبنّى اقتراحاً أو رأي في مداولة"
"Adopt (to) diplomatic suggestions","يتبنّى المقترحات الدبلوماسية"
"Adopt (to) jurists opinion","يأخذ برأي الفقهاء"
"Adopt (to) political opinion","يتبنّى الرأي السياسي"
"Adopt (to) the majority opinion","يأخذ برأي الأغلبية"
"Adverse opinion","رأي معاكس مُضادّ"
"Adverse opinion","رأي مُعاكس مُضادّ"
"Advisory body","هيئة استشارية"
"Advisory committee","لجنة استشارية"
"Advisory opinion","رأي استشاري"
"Affect (to) diplomatic relations","يمسّ العلاقات الدبلوماسية"
"Affect (to) human rights","يمسّ الحقوق الإنسانية"
"Affect (to) national interests","يمسّ المصالح الوطنية"
"Affect (to) political interests","يمسّ المصالح السياسية"
"Affirmative vote","تصويت بالموافقة"
"Aggravation of diplomatic conflicts","تفاقم النزاعات الدبلوماسية"
"Aggravation of diplomatic problems","تفاقم المشكلات الدبلوماسية"
"Aggravation of diplomatic","تفاقم المشكلات الدبلوماسية"
"Aggravation of diplomatic","تفاقم النزاعات الدبلوماسية"
"Aggravation of political situation","تفاقم الوضع السياسي"
"Aggravation of political","تفاقم الوضع السياسي"
"Aggression acts","أعمال استفزازية"
"Aggression","عدوان"
"Aggressive diplomatic attitude","موقف دبلوماسي عدائي"
"Aggressive intentions","نوايا عدوانية"
"Agree (to) half way","يتفق على حل وسط"
"Agree (to) half way","يتفق على حلّ وسط"
"Aid commission","مهمة إغاثة"
"Aid commission","مهمّة إغاثة"
"Aid committee","لجنة الإغاثة"
"Air battle","معركة جوية"
"Air blockade","ز"
"Air blockade","حصار جوي"
"Air bombardment","قصف جوي"
"Air forces","قوّات جويّة"
"Air operations","عمليات جوية"
"Air operations","عمليات جويّة"
"Air raids","غارات جوية"
"Air raids","غارات جويّة"
"Air security experts","خبراء أمن الطائرات"
"Air squadron","هجوم بالطائرات"
"Air strikes","ضربات جوية"
"Air strikes","ضربات جويّة"
"Alien resident","غريب عن البلد"
"Alignment","انحياز"
"All human being are equal in duties and rights","البشر متساوون في الحقوق والواجبات"
"Allegation of violations sources","تحديد مصادر الانتهاكات"
