"English Sentence","Arabic Sentence","Category"
"Birds of a feather flock together.","الطيور على أشكالها تقع.","Proverbs"
"A bird in the hand is worth two in the bush.","عصفور في اليد خير من عشرة على الشجرة.","Proverbs"
"Prevention is better than cure.","الوقاية خير من العلاج.","Proverbs"
"Don't cry over spilt milk.","لا تبكِ على اللبن المسكوب.","Proverbs"
"A friend in need is a friend indeed.","الصديق وقت الضيق.","Proverbs"
"Old habits die hard.","من شبّ على شيء شاب عليه.","Proverbs"
"A blessing in disguise.","رب ضارة نافعة.","Proverbs"
"Necessity is the mother of invention.","الحاجة أم الاختراع.","Proverbs"
"Based on the above / Accordingly.","بناءً على ما تقدم / وفقاً لما سبق.","Cliches & official expressions"
"At the request of the above-mentioned.","بناءً على طلب المذكور أعلاه.","Cliches & official expressions"
"Please be informed and take the necessary action.","يُرجى التكرم بالاطلاع واتخاذ اللازم.","Cliches & official expressions"
"Highly appreciated and valued.","محط اهتمام وتقدير.","Cliches & official expressions"
"Come into effect / Enter into force.","يدخل حيز التنفيذ / النفاذ.","Cliches & official expressions"
"The cornerstone.","حجر الزاوية.","Cliches & official expressions"
"On the sidelines of the meeting.","على هامش الاجتماع.","Cliches & official expressions"
"Exert every possible effort / Do one's utmost.","يبذل قصارى جهده.","Cliches & official expressions"
"The president arrived at the airport this morning.","وصل الرئيس إلى المطار صباح اليوم.","Structural sentences"
"The teacher may arrive late.","قد يحضر المعلم متأخراً.","Structural sentences"
"The company has achieved impressive success.","لقد حققت الشركة نجاحاً باهراً.","Structural sentences"
"I read another book.","قرأت كتاباً آخر.","Structural sentences"
"Some students prefer sports; others prefer reading.","بعض الطلاب يفضلون الرياضة، والبعض الآخر يفضل القراءة.","Structural sentences"
"Everyone must respect the laws.","يجب على الجميع احترام القوانين.","Structural sentences"
"You should eat healthy food.","ينبغي عليك تناول الطعام الصحي.","Structural sentences"
"The man bought a new, fast car.","اشترى الرجل سيارة جديدة وسريعة.","Structural sentences"
"The library door is closed / The door of the library is closed.","باب المكتبة مغلق.","Structural sentences"
"The weather is beautiful.","الطقس جميل.","Structural sentences"
"The government pays great attention to developing education and upgrading graduates' standards to keep pace with modern labor market requirements.","تولي الحكومة اهتماماً بالغاً بتطوير التعليم والنهوض بمستوى الخريجين لمواكبة متطلبات سوق العمل الحديثة.","Text excerpts (educational)"
"The region has witnessed rapid economic and political transformations over the past decade, necessitating concerted international efforts to enhance stability.","شهدت المنطقة تحولات اقتصادية وسياسية متسارعة خلال العقد الماضي مما يتطلب تضافر الجهود الدولية لتعزيز الاستقرار.","Text excerpts (political/economic)"
"Pursuant to the powers vested and as required by the public interest, it has been decided to form a committee to review concluded contracts and agreements.","بناءً على الصلاحيات الممنوحة ولما تقتضيه المصلحة العامة، تقرر تشكيل لجنة لمراجعة العقود والاتفاقيات المبرمة.","Text excerpts (administrative/formal)"
