"English Term","Arabic Term"
"abridged edition","طبعة مختصرة"
"abstract set","منظر تجريدي"
"abused freedom of press","حرية الصحافة المُساء استخدامها"
"accent light","إضاءة مُؤكِّدة"
"access television","تليفزيون المشاركة (الجماهيرية)"
"according to informed sources","وَفْقًا لمصادر مُطَّلعة"
"accredited representative of the press","مندوب صحفي مُعتَمد"
"action still","صور ثابتة"
"adds","إضافة (إخبارية)"
"adoption of the idea","تبني الفكرة"
"advertisement (ad)","إعلان"
"advertisement supplement","ملحق إعلانات"
"advertiser","مُعْلِن"
"advertising","صناعة الإعلان"
"advertising agency","وكالة إعلانية"
"advertising rate","تعريفة الإعلان"
"affective needs","حاجات وجدانية"
"agenda building","وضع الأولويات"
"agenda setting","وضع الأولويات"
"americanization","أمركة"
"amusement page","صفحة التسلية"
"analytical article","مقال تحليلي"
"animation","فن الرسوم المتحركة"
"anti propaganda","دعاية مضادة"
"argument","حُجّة"
"argument programs","برامج جدليّة"
"argumentation analysis","تحليل الأطروحات"
"attention","انتباه"
"audience","المتلقون"
"audience research","بحوث المتلقي"
"authoritarianism conservative","سلطوية محافظة"
"authoritarianism liberal","سلطوية ليبرالية"
"back lighting","إضاءة خلفية"
"back number (of a newspaper)","عدد سابق(جريدة أو مجلة)"
"background music","موسيقى تصويرية"
"bad news","أخبار سيئة"
"book review","عرض كتاب"
"booklet","كُتَيِّب"
"brand name","اسم تجاري"
"brand perception","تمييز العلامة التجارية"
"breaking news","خبر عاجل"
"broadcast network","شبكة إذاعية"
"burning question","قضية الساعة"
"business news","أخبار المال والتجارة"
"cackler","ثرثار"
"calligrapher","خطاط"
"camera angle","زاوية الكاميرا"
"camera boom","ذراع الكاميرا"
"camera crew","فريق التصوير"
"camera movement","حركة الكاميرا"
"camera negative film","الفيلم السالب"
"camera set-up","موضع الكاميرا"
"campaigner","مُشارك في حملة"
"caption","تعليق على صورة أو رسم"
"censorship","رِقابة"
"central control room","غرفة المراقبة الرئيسية"
"chain gannet","سلسلة جانيت الصحفية"
"channel of communication","دائرة اتصالية"
"channels of opinion forming","قنوات تكوين الرأي"
"character in(to)","تَقَمُّص الشخصية"
"characterization","تصوير الشخصية"
"chase scenes","مشاهد المطاردة"
"cheat","خداع"
"chief camera man","رئيس فريق التصوير"
"children's film","فيلم أطفال"
"children's magazine","مجلة أطفال"
"cine","فيلم سينمائي"
"cinemascope","سينما سكوب"
"cinematograph act","قانون السينما"
"circular","منشور"
"circulation","توزيع الصحيفة"
"circulation department","قسم التوزيع"
"claque","مصفقون مستأجَرون"
"classified advertising","إعلانات مُبَوّبة"
"classroom film","فيلم مدرسي"
"clipping","قُصاصة"
"close procedure","اختبار التتمّة"
"code","شِفْرة"
"cognitive","معرفي"
"cognitive consistency","اتساق معرفي"
"cognitive dissonance","تنافر معرفي"
"cognitive needs","حاجات معرفية"
"colorimeter","مقياس كثافة الألوان"
"columnist","كاتب عمود"
"commercial paper","صحيفة إعلانية"
"commercial television","تليفزيون تجاري"
"communication policy","سياسة إعلامية"
"communication system","نظام اتصالي"
"communicator","قائم بالاتصال"
"community television","تليفزيون محلي"
"compositor","جَمِّيع (جامع الحروف)"
"comprehension","استيعاب"
"concentration of ownership","تركيز الملكية"
"confiscation","مصادرة"
"conflict","صراع"
"conglomerate","تكتل إعلامي"
"content analysis","تحليل المضمون"
"contest","تعارض"
"continuity announcer","مذيع ربط"
"continuity cut","توليف تتابع"
"continuity sheet","تقرير المتابعة"
"continuous performance","عرض مستمر"
"contrast lead","مقدمة التباين"
"copyright","حق النشر"
"corporate identity","هوية المؤسسة"
"correspondent abroad","مراسل خارجي"
"costume designer","مصمم الملابس"
"counter measure","تدبير مضاد"
"court circular","نشرة البلاط"
"covering statements","بيانات التغطية"
"credibility","مصداقية"
"critical article","مقال نقدي"
"cross-media ownership","ملكية وسائل إعلامية متنوعة"
"cultivation","تثقيف"
"cultural imperialism","استعمار ثقافي"
"cultural magazine","مجلة ثقافية"
"current events","ماَجَريات"
"cut back","قطع التسلسل"
"dailies","يوميات صحفية"
"data-base manager","مدير قاعدة بيانات"
"deadening","عزل الصوت"
"dealers magazine","مجلة الموزعين"
"debate","مناظرة"
"debut","الظهور الأول"
"decision makers","صُنَّاع القرار"
"decoding","فك الشِفْرة"
"defensive communication","اتصال دفاعي"
"demise","احتجاب الصحيفة"
"democracy conservative","ديمقراطية محافظة"
"democracy liberal","ديمقراطية ليبرالية"
"demoralization","تثبيط الروح المعنوية"
"demoralization rumors","شائعات تثبيط المعنويات"
"denial","تكذيب"
"dependency theory","نظرية الاعتماد"
"descriptive lead","مقدمة وصفية"
"designer","مصمِّم (سكرتير تحرير فني)"
"desk","دِيْسك(قاعة التحرير)"
"determinism","الحتمية"
"developer","المُظهِر"
"development communication","اتصال تنموي"
"developmental news","أخبار تنموية"
"diagram film","فيلم بياني"
"dialogue lead","مقدمة حوارية"
"diffusion","نشر–بث"
"digital compression","الضغط الرقمي"
"digital coverage","تغطية رقمية"
"digital divide","فجوة رقمية"
"direct cut","قَطْع مباشر"
"direct lighting","إضاءة مباشرة"
"direct printing","طبع مباشر"
"direction","إخراج"
"director","مُخْرِج"
"director cameraman","مدير التصوير"
"discourse","خِطاب"
"discourse analysis","تحليل الخطاب"
"discoursive communication","اتصال خِطابي"
"display machine","ماكينة العناوين"
"display type","حروف العناوين"
"distortion","تحريف"
"distribution company","شركة توزيع"
"distribution section","قسم التوزيع"
"diversity","تنوع"
"documentary film","فيلم تسجيلي (وثائقي)"
"documentation","توثيق"
"dolly","حاملة الكاميرا"
"dolly in","تقريب الكاميرا"
"dolly out","تبعيد الكاميرا"
"double columned","جمع على عمودين"
"double exposure","تعريض مضاعف"
"double page","صفحة الوسط المزدوجة'الدوبل'"
"draft","مُسَوَّدة"
"draft declaration","مشروع البيان"
"drafting committee","لجنة صياغة"
"dramatist","مُؤلِّف درامي"
"dreadful papers","صُحف الإثارة"
"dubbing","دَبْلجة"
"echo","صدى"
"echo chamber","حُجْرة الصدى"
"editorial","افتتاحية"
"editorial board","مجلس التحرير"
"editorial policy","سياسة التحرير"
"educational television","تليفزيون تعليمي"
"effect","تأثير"
"effective channels of communication","قنوات الاتصال الفعالة"
"effective lead","مقدمة مؤثرة"
"ego involvement","الاندماج الذاتي"
"election campaign","حملة انتخابية"
"electronic democracy","ديمقراطية إلكترونية"
"electronic newspaper","صحيفة إلكترونية"
"elite","نخبة"
"emphasis","إبراز'إبراز صحفي'"
"encaustic ink","حِبر مُثَبَّت"
"encoding","تشفير"
"episode","حدث"
"errata list","قائمة التصويب"
"esparto pulp","لُبُّ الحلفاء"
"ethics","أخلاقيات"
"even page","صفحة زوجية الترقيم"
"evening paper","صحيفة مسائية"
"event","حدث"
"exchange essay","مقال معاد نشره"
"exchange of views","تبادل الآراء"
"exclusive","حَصْري"
"exclusive interview","مقابلة حصْريّة"
"execution studio","أستوديو التنفيذ"
"executive producer","منتج منفِّذ"
"exhibition","مَعْرَض"
"extended colour","لون ممتد"
"exterior scene","مشيد خارجي"
"extreme opinion","رأي متطرف"
"extremist","متطرف"
"eyewitness","شاهد عيان"
"face to face communication","اتصال مواجه"
"facsimile (fax)","فاكس– ناسوخ"
"fact collecting","جمع الحقائق"
"fact finding","استقصاء الحقائق"
"factual","مادة حقيقية"
"fade down","خفض تدريجي"
"fade in","ظهور تدريجي"
"fade out","تلاشٍ تدريجي"
"fade to black","خفض الصورة إلى السواد"
"fade up","رفع تدريجي"
"faded color","لون باهت"
"family magazines","مجالات الأسرة"
"feed forward","تغذية متوقعة"
"feedback","تغذية مرتدة"
"female style","أسلوب نسوي"
"fettered media","وسائل الإعلام المُقَيَّدة"
"field camera","كاميرا خارجية"
"field equipment","معدات إذاعة خارجية"
"figurative language","لغة مجازية"
"filter","مُرَشِّح"
"financial journalist","صحفي مالي"
"financial page","صفحة مالية"
"financial papers","صحف مالية"
"first edition","طبعة أولى"
"fixing","تثبيت"
"flash","نبأ عاجل"
"flipping","تغيير"
"flood lights","إضاءة غامرة"
"flying camera","كاميرا طائرة"
"focus group","جماعة بؤْرية"
"forecast","توقع"
"foreign edition","طبعة خارجية"
"foreign information","إعلام خارجي"
"foreign service","برامج موجهة"
"foreword","تمهيد"
"formal balance","توازن شكلي"
"formal denial","تكذيب رسمي"
"format","القَطْع"
"forum","منتدى"
"foundation lighting","إضاءة عامة"
"fourth estate","السلطة الرابعة"
"frame","إطار(كادر)"
"freedom of criticism","حرية النقد"
"freedom of speech","حرية التعبير"
"front lighting","إضاءة أمامية"
"full shot","لقطة شاملة"
"future analysis","تحليل مستقبلي"
"future shock","صدمة المستقبل"
"futurism","المستقبلية"
"gallop institute","معهد جالوب"
"gazette","جريدة رسمية"
"global media","وسائل إعلام كوكبية(عولمية)"
"good news","أخبار سارة"
"government spokesman","متحدث رسمي"
"grammar checkers","مدقِّق لُغَوِي"
"graphics","فن الجرافيك"
"gray propaganda","دعاية رمادية"
"green room","حُجْرة خضراء"
"grid system","نظام شبكي"
"group interview","مقابلة جماعية"
"group papers","صحفٌ لمجموعة"
"guest star","ضيف شرف"
"guidebook","دليل"
"half-yearly","نصف سنوي"
"halftone","صورة ظلية"
"halogen lamps","مصابيح هالوجينية"
"hand composition","جمع يدوي"
"hard lighting","إضاءة مُركِّزة"
"hard news","أخبار جادة"
"high fidelity (hi fi)","نقاء صوتي"
"high-angle shot","لقطة من أعلى"
"historical film","فيلم تاريخي"
"hot line","خط ساخن"
"house mark","علامة المنشأة"
"house organ","نشرة المؤسسة"
"houses of culture","بيوت الثقافة"
"hyper text","نصّ نَشيط"
"icebreaker","مذيب الثلج"
"id (identification)","هوية (ID)"
"idiat card","لوحة تذكير"
"image processor","مُعالِج الصور"
"immediacy","الفورية"
"imposition","تنسيق(توضيب)"
"in press","تحت الطبع"
"in-depth coverage","تغطية متعمقة"
"informal balance","توازن غير شكلي"
"informatics","المعلوماتية"
"information aggression","عدوان إعلامي"
