"English Term","Arabic Term"
"(institution) supranational order","نظام عالمي يتعدى الحدود القومية"
"(patronage) by someone or something","تحت إشراف (أو برعاية) فلان"
"(political movement established in Europe after the second World War and known for its policy aiming at marking the current systems by the faschist principle as glorifying the State, the race and the democratic resistance)","حركة سياسية نشأت في أوروبا بعد الحرب العالمية الثانية اتسمت بسياسات تهدف إلى تطعيم الأنظمة القائمة بالمبادئ، الفاشية السياسية كتمجيد الوطن والعرق ومقاومة الديمقراطية."
"(separating) the president who has resigned","الرئيس الخارج (المستقبل)"
"(USA will place nuclear missiles on the German territory)","ستقوم الولايات المتحدة الأمريكية بنصب صواريخ نووية جديدة على الأرض (الأراضي) الألمانية"
"(voter) nomination right","حق الترشيح"
"(world)the waged war on par-ties","الأحزاب (الأطراف) المتحاربة (المقاتلة)"
"a banquet is given for the guest's honor","ستقام مأدبة عشاء على شرف الضيف الكبير"
"a close meeting exclusion","في جلسة سري"
"a common lot connects us","يربطنا مصير مشترك"
"a decision made with majority of voices","يتخذ قراراً بأكثرية الأصوات"
"a demonstration prohibition","منع التظاهر"
"a party prohibition","ألغى (منع) الحزب"
"a royal decree was issued","صَدْر مَرْسُوم مَلَكِي (إِرَادَة مَلَكِيَة)"
"a smashing election victory","نصر انتخابي ساحق"
"a State including people with different roots, languages and customs and who doesn't have the state unity as was the case in Austria and Hungaria","(هي دولة أو بلد يكون فيه أكثر من فئة ذات أصول ولغات وعادات مختلفة ولا تشعر بالوحدة بالأهمية كما لو كان الحال سابقاً في النمسا وهنجاريا)"
"abandonment of sovereignty","التخلي عن السيادة"
"abandonment","إهمال، تقصير، إغفال، تهاون"
"ABC arms, abbreviation for the Atomic, Bacteriological, Chemical arms","مصطلح يطلق على السلاح النووي والجرثومي والكيماوي"
"ABC states: a noun given to the three following states: Argentine, Brazil, and Chile","اسم يطلق على الدول الثلاث: الأرجنتين والبرازيل وتشيلي"
"abdication document","وثيقة التنازل"
"abdication","تنازل، اعتزال، استقالة"
"abduction","خطف، ترحيل، تأجيل"
"abiding to international law","مُلزَم بالقانون الدولي"
"abiding to the international law duties","مُلزَم لواجبات القانون الدولي"
"abiding to the principles of the international law","مُلزَم لمبادئ القانون الدولي"
"able to change and move","قابل للنقل، يمكن التصرف به (صفة)"
"able to fight","قادر على القتال، أهل للقتال"
"abnegation clause","بند (فقرة) التنازل"
"abnegation policy","سياسة التنازل (الإستسلام)"
"abnegation","تنازل، ترك"
"abolition","إلغاء"
"abrogation front","جبهة الرفض"
"absence","انعدام"
"absolute authority","تفويض مطلق، صلاحية مطلقة"
"absolute majority","الأكثرية (الغالبية) المطلقة"
"absolute monopoly","إحتكار مطلق"
"absolute power","سُلْطَة مُطْلَقَة"
"absolute","مُطْلَق (صفة)"
"absolutism","استبداد، حكم مطلق"
"abstention","الامتناع عن التصويت"
"abuse (to) of one's rights","تعدي على الحق"
"abuse (to) of the office","استغل المنصب (الوظيفة)"
"abuse (to)","استغل، أساء استعمال، امتهن"
"abuse of the (governmental) authority","استغلال السلطة (الحكومية)"
"abuse of the right","إساءة استعمال الحق، التعسف في استعمال الحق"
"abuse of the use of the (administrative) authority","سوء استعمال الصلاحية الإدارية"
"abuse","سوء استعمال، تعسف، استغلال، امتهان"
"abusive measure","إجراء تعسفي"
"academy","مجمع، أكاديمية"
"accept (to) an agreement (with conditions)","عقد (اتفاقية) بالشروط والتحفظات"
"accept (to)","يرضى، يقبل، يُدْعَن"
"acceptance of an office","تولي المنصب (أو الوظيفة)"
"acceptance of guarantee","قبول الضمان"
"acceptance of the constitution","توافق (انسجام) مع الدُّسْتُور"
"acceptance","تولي، استلام، قبول"
"accepted negotiations","المفاوضات المقبلة (المنتظرة أو المتوقعة)"
"accepts the order with a majority of 6 voices","يقبل (الطلب) بأكثرية 6 أصوات"
"accession","تولي (ارتقاء، اعتلاء) العرش"
"acclamation","هتاف استحسان، تصفيق تأييد، الموافقة بالتركية"
"accommodation","مأوى، استضافة"
"accomplish (to)","أَنْجَزَ، أَتَمَّ، نَفَّذَ، أَجْرَى، أَكْمَلَ نَالَ، أَحْرَزَ"
"accord, agreement, harmony, coincidence","تَوَافَقَ، انْسِجَامَ، تَطَابُقَ، تَجَاوُبَ"
"according to faulty information","بناءً لمعلومات غير مؤكدة"
"according to tariff, adj.","حَسَبَ لِاتِّحَةِ الْأُجُورِ، طَبَقًا لِلِاتِّحَةِ الْأُجُورِ"
"according to the command","حَسَبَ الْأَمْرِ"
"according to the constitution","حسب الدستور"
"according to the diplomatic custom","وفق (حسب) العرف الدبلوماسي"
"accountant","مُحَاسِبَ"
"accredit (to) before the government","اعْتَمَدَ لَدَى الْحُكُومَةِ"
"accredit (to)","اعْتَمَدَ (سَفِيرًا لَدَى)"
"accreditation application","طَلَبَ الِاعْتِمَادَ"
"accreditation","الِاعْتِمَادَ"
"accumulation funds","صندوق التِّرَاكُمِ"
"accumulation","تَرَاكُمَ"
"achieve (to) independence","نَالَ (صَنَعَ) الِاسْتِقْلَالَ"
"achieve (to) victory","أَحْرَزَ انْتِصَارًا، انْتَصَرَ"
"achieve (to)","أَحْرَزَ، حَقَّقَ، أَصَابَ"
"achievement","مَكْسَبَ، انْتِصَارَ، إِنْجَازَ"
"acknowledge (to)","يَعْتَرِفُ بِـ، يَسْلَمُ بِـ، يَقْرُبُ"
"acknowledged","شَرْعِيٌّ، مُعْتَرَفٌ بِهِ (صِفَةً)"
"acknowledgement","اعْتِرَافَ، اسْتِحْسَانَ"
"acquisition nationality","اكتساب الجنسية"
"acquisition of land","الإستيلاء على الأرض"
"acquisition, possession","تلك، استملاك"
"act ( official)","عمل، فعل، إجراء (رسمي)"
"act","عمل، فعل"
"acting contract","مُعَاهَدَة صَالِحَة (سَارِيَة المُفْعُول)"
"acting member","عضو بالنيابة"
"acting of the contract","وَضْع مُعَاهَدَة"
"action, procedure","إجراء، تصرف"
"action","عمل، فعل"
