"English Term","Arabic Term","Category"
"apartment (American)","شقة","british_american"
"flat (British)","شقة","british_american"
"pitcher (American)","إبريق","british_american"
"jug (British)","إبريق","british_american"
"mortician (American)","حانوتي","british_american"
"undertaker (British)","حانوتي","british_american"
"downtown (American)","وسط المدينة","british_american"
"town centre (British)","وسط المدينة","british_american"
"gas / gasoline (American)","بنزين","british_american"
"petrol (British)","بنزين","british_american"
"movie (American)","فيلم سينمائي","british_american"
"film (British)","فيلم سينمائي","british_american"
"corn (American)","ذرة","british_american"
"maize (British)","ذرة","british_american"
"broiled (American)","مشوى","british_american"
"grilled (British)","مشوى","british_american"
"elevator (American)","مصعد","british_american"
"lift (British)","مصعد","british_american"
"faucet (American)","حنفية (صنبور الماء)","british_american"
"tap (British)","حنفية (صنبور الماء)","british_american"
"candy (American)","حلوى","british_american"
"sweets (British)","حلوى","british_american"
"crib (American)","مهد الطفل","british_american"
"cot (British)","مهد الطفل","british_american"
"detour (American)","تحويلة طريق","british_american"
"diversion (British)","تحويلة طريق","british_american"
"crazy (American)","مجنون","british_american"
"mad (British)","مجنون","british_american"
"angry (American for mad)","غاضب","british_american"
"bar (American)","حانة","british_american"
"pub (British)","حانة","british_american"
"bartender (American)","ساقي الحانة","british_american"
"barman (British)","ساقي الحانة","british_american"
"billfold (American)","حافظة نقود","british_american"
"wallet (British)","حافظة نقود","british_american"
"diaper (American)","حفاضة طفل","british_american"
"nappy (British)","حفاضة طفل","british_american"
"drape (American)","ستارة","british_american"
"curtain (British)","ستارة","british_american"
"hood (American)","كبود السيارة","british_american"
"bonnet (British)","كبود السيارة","british_american"
"pants (American)","بنطلون","british_american"
"trousers (British)","بنطلون","british_american"
"math (American)","الرياضيات","british_american"
"maths (British)","الرياضيات","british_american"
"ZIP Code (American)","الرمز البريدي","british_american"
"post code (British)","الرمز البريدي","british_american"
"sidewalk (American)","رصيف","british_american"
"pavement / curb (British)","رصيف","british_american"
"pajama (American)","منامة (بيجامة)","british_american"
"pyjama (British)","منامة (بيجامة)","british_american"
"vest (British: فاندة؛ American: صديري)","فاندة / صديري","british_american"
"Judaism","اليهودية","religious_names"
"Jew","يهودي","religious_names"
"Hebrew","عبراني","religious_names"
"Christianity","المسيحية","religious_names"
"Christian","مسيحي","religious_names"
"Islam","الإسلام","religious_names"
"Moslem","مسلم","religious_names"
"Allah","الله","religious_names"
"Jehovah","يهوه","religious_names"
"Gabriel","جبريل","religious_names"
"Michael","ميخائيل","religious_names"
"Azrael","عزرائيل","religious_names"
"Buddha","بوذا","religious_names"
"Buddhism","البوذية","religious_names"
"Mazdaism","المجوسية","religious_names"
"Jesus","عيسى (يسوع)","religious_names"
"Christ","المسيح","religious_names"
"Mary","مريم","religious_names"
