"English Sentence","Arabic Sentence"
"A War For Democracy","الديمقراطية"
"A War To End All Wars","ستكون خاتمة لجميع الحروب"
"AB","إليها بالحروف التالية فصيلة"
"Absence Certificates","الانتخابات شهادات التغيب"
"Achievement","عكس الإنجاز"
"Activism","النشاط"
"Adaptation","التكيف"
"Africaners","أنظر أفريكانرز أنظر أفريكانرز"
"Aggressive Cue","نظرية المزاج العدواني"
"Agitator Leader","الإثارة"
"Agreement","اتفاق"
"Ambiguous","غامضة"
"Anglican Church","العالم وتسمى"
"Animal Energy","والإرادة الذهنية والطاقة الحيوانية"
"Anomic Interest Groups","وهناك جماعات المصلحة الأنومية) غير المعيارية وهي جماعات غير منظمة بشكل دائم وقد تعبر عن مصالح ومطالب متناقضة وقد تظهر فجأة من خلال المظاهرات والإضراب وأعمال الشغب، وقد تعبر عن الإحباط الشديد لدى فئات مختلفة من المجتمع"
"Anti-Thesis","وتأكيدا متناقضا"
"Arabisme","عنها بمصطلح النزعة العربية"
"Archive Ccrawlers","منظومة المعلومات روبوتات الأرشفة"
"Armistice","الهدنة"
"Assembled Masses","وقد تجتمع الجماهير"
"Bem","نظرية قدمتها بيم"
"Bicameral","تركيب ثنائي"
"Big Seven","المنظمات السبعة الكبار"
"Bilateral","الجماعية بعكس المساعدات الثنائية"
"Bill Of Rights","للأديان تكفلها لائحة الحقوق"
"Bionic Woman","الخيال العلمي المرأة البيونيك"
"Black Propaganda","الدعاية السوداء"
"Blitzkrieg War","الحرب الخاطفة"
"Blocking Software","طريق برامج احتجاز المعلومات"
"Blood Group","أربع فصائل دم"
"Boundaries","حدود النظام"
"Boundaries","تحمي الحدود"
"Bounds","كلمة الأطراف"
"Bourgeois Ideology","أيدلوجية برجوازية"
"Bureaucrats","والبيروقراطييون"
"Business","البيزنس"
"Center","والوسط"
"Central Tyranny","ظهور الاستبداد المركزي"
"Centrists","أنظر أهل الوسط"
"Cession Of A Territory","تسليم أراضي"
"Characters","أساس للصفات"
"Chauvinism","الوطنية"
"Class","فالط بقة"
"Class Revolution","وتشتهر بالدعوة للثورة الطبقية"
"Class Theory","نظرية الطبقة"
"Clayton-Bulwer","معاهدة كلايتون بلوير"
"Cohernt & Consistent","يعمل بصورة متماسكة ومستمرة"
"Colette Dowling","كتبت عنها كولت دارولنج"
"Collective","وفكر جمعي"
"Combinatorial","وفكر بدائلي"
"Communicative","وفكر تواصلي"
"Communist Classless Society","طبقي"
"Communist Party Of The Soviet Union","وهناك الحزب الشيوعي السوفيتي (CPSU) وهو التنظيم السياسي الوحيد المعترف به في الاتحاد السوفيتي سابقاً، والذي يقود البلاد من أجل تطبيق النظام الشيوعي، وهو القناة الرسمية الوحيدة للنفوذ في الدولة"
"Competing Producers","المنتجين المتنافسين"
"Complete Independence","تمارس اس تقلالها الكامل"
"Compromise","المساومات والحلول الوسط"
"Compulsory Education","تعليم إلزامي"
"Computational","وفكر حوسبي"
"Computer-Assisted-Persuasivd- Technology","تكنولوجيا المعلومات"
"Computers","للتطور السريع للحاسبات الإلكترونية"
"Conceptual","وفكر مفهومي"
"Conceptual Graphs","مخططات مفاهيمية"
"Concrete","وفكر محدد"
"Concurrent","وفكر متواز"
"Conducted Public Opinion","المنساق"
"Conference On Disarmament","يصبح مؤتمر نزع السلاح"
"Confucianism","أنظر الكونفوشيوسية"
"Congress","المؤتمر العام"
"Conservative Government","الحكومات المحافظة"
"Constitutional Autonomy","حكم ذاتي دستوري"
"Constitutive Law","القانون التكويني"
"Consultation","أنظر تشاور"
"Consulting Firms","تنفذها الشركات والمكاتب الاستشارية"
"Consumers","مستهلكين"
"Containment Of Difference","احتواء الخلافات"
"Containment Policy","مصطلحات السياسة سياسة الاحتواء"
"Contradictive","وفكر تفنيدي"
"Control","الثالث لقوة باعتباره سلطة"
"Control Is The Same Power","نفسها القوة"
"Controversial","وفكر خلافي"
"Costal Transit State","والتيتُسمى الدول الداخلية أو الم غلقة، أي التي ليس لها شواطيء أو سواحل على البحار أو المحيطات الدولية، وقد أعطاها القانون الدولي حق المرور والوصول بحرية إلى البحر Free Access The Sea وذلك عبر أقاليم الدول الحاجزة بينها وبين أقرب البحار وتسمى الدولة الحاجزة دولة المرور العابر) الترانزيت ويشمل هذ المرور العابر مرور الأشخاص والبضائع ووسائل النقل عبر أقليم تلك الدولة"
"Council Of Nationalities","مجلس الاتحاد ومجلس القوميات"
"Council Of Union","مجلسين مجلس الاتحاد"
"Counter Prop","والدعاية ال مضادة"
"CPSU","الحزب الشيوعي السوفيتي"
"Creative","عصر المعلومات فكر ابتكاري"
"Culture System","ومنها النسق الثقافي"
"Cultured","بعكس الرأي العام المثقف"
"Customary Law","العرف القانوني"
"Cyborg","الخيال العلمي مثال للسيبورج"
"D C","١٧٨٧م وعاصمتها واشنطن"
"Debates","الجدل"
"Decided Any Thing","و هو أعلى مستوى يمكن أن يؤثر على صنع القرار والذي يمكن أن نقول فيه أن كذا وكذا قد قرر شيئا ما So-and-so “ It Is Possible To say ، ويصدر عنه أقوى القرارات التي تسمى القرارات الحكومية Government Decisions"
"Deep Silos","مخازن آمنة وعميقة"
"Deferment Of Judjment","ضرورة إرجاء التقييم والنقد"
"Denationalization","القوميات الصغيرة وخفض القومية"
"Deprivations","التحريمات"
"Desirability","الرغبة"
"Development","فالنمو يستخدم كمرادف للتنمية"
"Dignified Institutions","واستخدام أسلوب تبجيل المؤسسات"
"Diplomapping","أحداث اختطاف الد بلوماسيين"
"Direct","اتصالا مباشرا"
"Dissenting Groups","الجماعات المنشقة"
"District Of Columbia","دائرة ولاية كولومبيا"
"Drain External Brain","العقول النزيف الخارجي للعقول"
"Economic Engine","وسيكون المحرك الاقتصادي"
"Education","التعليم"
"Effectiveness","له انتاجه وفعاليته"
"Effectors","الاستدعاء نظام التنفيذ"
"Efficiency Audit","هناك تدقيق كفاءة"
